"Município";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"Unidade de cuidados intermed adulto";"Total"
"210670 Mirador";-;-;-;-;-;-
"210675 Miranda do Norte";-;-;-;-;-;-
"210680 Mirinzal";-;-;-;-;-;-
"210690 Monção";2;-;-;-;6;8
"210700 Montes Altos";2;-;-;-;-;2
"210710 Morros";1;-;-;-;-;1
"210720 Nina Rodrigues";-;-;-;-;-;-
"210725 Nova Colinas";-;-;-;-;-;-
"210730 Nova Iorque";1;-;-;-;-;1
"210735 Nova Olinda do Maranhão";4;-;-;-;-;4
"210740 Olho d'Água das Cunhãs";-;-;-;-;-;-
"210745 Olinda Nova do Maranhão";-;-;-;-;-;-
"210750 Paço do Lumiar";-;-;-;-;-;-
"210760 Palmeirândia";1;-;-;-;-;1
"210770 Paraibano";-;-;-;-;-;-
"210780 Parnarama";-;-;-;-;-;-
"210790 Passagem Franca";-;-;-;-;-;-
"210800 Pastos Bons";-;-;-;-;-;-
"210805 Paulino Neves";1;-;-;-;-;1
"210810 Paulo Ramos";-;-;-;-;-;-
"210820 Pedreiras";-;-;-;-;-;-
"210825 Pedro do Rosário";-;-;-;-;-;-
"210830 Penalva";-;-;-;-;-;-
"210840 Peri Mirim";-;-;-;-;-;-
"210845 Peritoró";2;-;-;-;6;8
"210850 Pindaré-Mirim";1;-;-;-;-;1
"210860 Pinheiro";5;-;10;-;-;15
"210870 Pio XII";-;-;-;-;-;-
"210880 Pirapemas";1;-;-;-;-;1
"210890 Poção de Pedras";-;-;-;-;-;-
"210900 Porto Franco";4;-;-;-;-;4
"210905 Porto Rico do Maranhão";-;-;-;-;-;-
"210910 Presidente Dutra";1;-;11;-;-;12
"210920 Presidente Juscelino";-;-;-;-;-;-
"210923 Presidente Médici";-;-;-;-;-;-
"210927 Presidente Sarney";1;-;-;-;-;1
"210930 Presidente Vargas";-;-;-;-;-;-
"210940 Primeira Cruz";1;-;-;-;-;1
"210945 Raposa";-;-;-;-;-;-
"210950 Riachão";-;-;-;-;-;-
"210955 Ribamar Fiquene";-;-;-;-;-;-
"210960 Rosário";-;-;-;-;-;-
"210970 Sambaíba";-;-;-;-;-;-
"210975 Santa Filomena do Maranhão";-;-;-;-;-;-
"210980 Santa Helena";4;-;-;-;-;4
"210990 Santa Inês";4;-;10;-;-;14
"211000 Santa Luzia";4;-;-;-;-;4
"211003 Santa Luzia do Paruá";2;-;-;-;-;2
"211010 Santa Quitéria do Maranhão";2;-;-;-;-;2
"211020 Santa Rita";-;-;-;-;-;-
"211023 Santana do Maranhão";1;-;-;-;-;1
"211027 Santo Amaro do Maranhão";-;-;-;-;-;-
"211030 Santo Antônio dos Lopes";-;-;-;-;-;-
"211040 São Benedito do Rio Preto";-;-;-;-;-;-
"211050 São Bento";1;-;-;-;-;1
"211060 São Bernardo";1;-;-;-;-;1
"211065 São Domingos do Azeitão";-;-;-;-;-;-
"211070 São Domingos do Maranhão";-;-;-;-;-;-
"211080 São Félix de Balsas";-;-;-;-;-;-
"211085 São Francisco do Brejão";-;-;-;-;-;-
"211090 São Francisco do Maranhão";-;-;-;-;-;-
"211100 São João Batista";-;-;-;-;-;-
"211102 São João do Carú";-;-;-;-;-;-
"211105 São João do Paraíso";1;-;-;-;-;1
"211107 São João do Soter";-;-;-;-;-;-
"211110 São João dos Patos";-;-;-;-;-;-
"211120 São José de Ribamar";4;-;20;-;-;24
"211125 São José dos Basílios";-;-;-;-;-;-
"211130 São Luís";18;113;219;25;15;390
"211140 São Luís Gonzaga do Maranhão";-;-;-;-;-;-
"211150 São Mateus do Maranhão";-;-;-;-;-;-
"211153 São Pedro da Água Branca";-;-;-;-;-;-
"211157 São Pedro dos Crentes";-;-;-;-;-;-
"211160 São Raimundo das Mangabeiras";-;-;-;-;-;-
"211163 São Raimundo do Doca Bezerra";-;-;-;-;-;-
"211167 São Roberto";-;-;-;-;-;-
"211170 São Vicente Ferrer";-;-;-;-;-;-
"211172 Satubinha";-;-;-;-;-;-
"211174 Senador Alexandre Costa";-;-;-;-;-;-
"211176 Senador La Rocque";-;-;-;-;-;-
"211178 Serrano do Maranhão";-;-;-;-;-;-
"211180 Sítio Novo";-;-;-;-;-;-
"211190 Sucupira do Norte";-;-;-;-;-;-
"211195 Sucupira do Riachão";-;-;-;-;-;-
"211200 Tasso Fragoso";-;-;-;-;-;-
"211210 Timbiras";2;-;-;-;6;8
"211220 Timon";2;-;-;-;-;2
"211223 Trizidela do Vale";-;-;-;-;-;-
"211227 Tufilândia";-;-;-;-;-;-
"211230 Tuntum";1;-;-;-;-;1
"211240 Turiaçu";-;-;-;-;-;-
"211245 Turilândia";-;-;-;-;-;-
"211250 Tutóia";1;-;-;-;-;1
"211260 Urbano Santos";-;-;-;-;-;-
"211270 Vargem Grande";-;-;-;-;-;-
"211280 Viana";-;-;-;-;-;-
"211285 Vila Nova dos Martírios";-;-;-;-;-;-
"211290 Vitória do Mearim";-;-;-;-;-;-
"211300 Vitorino Freire";-;-;-;-;-;-
"211400 Zé Doca";2;-;-;-;-;2
"210000 Município ignorado - MA";-;-;-;-;-;-
"220005 Acauã";-;-;-;-;-;-
"220010 Agricolândia";-;-;-;-;-;-
"220020 Água Branca";2;-;-;-;-;2
"220025 Alagoinha do Piauí";-;-;-;-;-;-
"220027 Alegrete do Piauí";-;-;-;-;-;-
"220030 Alto Longá";1;-;-;-;-;1
"220040 Altos";1;-;-;-;-;1
"220045 Alvorada do Gurguéia";-;-;-;-;-;-
"220050 Amarante";-;-;-;-;-;-
"220060 Angical do Piauí";-;-;-;-;-;-
"220070 Anísio de Abreu";-;-;-;-;-;-
"220080 Antônio Almeida";-;-;-;-;-;-
"220090 Aroazes";-;-;-;-;-;-
"220095 Aroeiras do Itaim";-;-;-;-;-;-
"220100 Arraial";-;-;-;-;-;-
"220105 Assunção do Piauí";-;-;-;-;-;-
"220110 Avelino Lopes";-;-;-;-;-;-
"220115 Baixa Grande do Ribeiro";-;-;-;-;-;-
"220117 Barra D'Alcântara";-;-;-;-;-;-
"220120 Barras";1;-;-;-;10;11
"220130 Barreiras do Piauí";-;-;-;-;-;-
"220140 Barro Duro";-;-;-;-;-;-
"220150 Batalha";-;-;-;-;-;-
"220155 Bela Vista do Piauí";-;-;-;-;-;-
"220157 Belém do Piauí";-;-;-;-;-;-
"220160 Beneditinos";-;-;-;-;-;-
"220170 Bertolínia";-;-;-;-;-;-
"220173 Betânia do Piauí";-;-;-;-;-;-
"220177 Boa Hora";-;-;-;-;-;-
"220180 Bocaina";-;-;-;-;-;-
"220190 Bom Jesus";-;-;-;-;-;-
"220191 Bom Princípio do Piauí";-;-;-;-;-;-
"220192 Bonfim do Piauí";-;-;-;-;-;-
"220194 Boqueirão do Piauí";-;-;-;-;-;-
"220196 Brasileira";-;-;-;-;-;-
"220198 Brejo do Piauí";-;-;-;-;-;-
"220200 Buriti dos Lopes";-;-;-;-;-;-
"220202 Buriti dos Montes";-;-;-;-;-;-
"220205 Cabeceiras do Piauí";-;-;-;-;-;-
"220207 Cajazeiras do Piauí";-;-;-;-;-;-
"220208 Cajueiro da Praia";-;-;-;-;-;-
"220209 Caldeirão Grande do Piauí";-;-;-;-;-;-
"220210 Campinas do Piauí";-;-;-;-;-;-
"220211 Campo Alegre do Fidalgo";-;-;-;-;-;-
"220213 Campo Grande do Piauí";-;-;-;-;-;-
"220217 Campo Largo do Piauí";-;-;-;-;-;-
"220220 Campo Maior";-;-;-;-;-;-
"220225 Canavieira";-;-;-;-;-;-
"220230 Canto do Buriti";-;-;-;-;-;-
"220240 Capitão de Campos";-;-;-;-;-;-
"220245 Capitão Gervásio Oliveira";-;-;-;-;-;-
"220250 Caracol";-;-;-;-;-;-
"220253 Caraúbas do Piauí";-;-;-;-;-;-
"220255 Caridade do Piauí";-;-;-;-;-;-
"220260 Castelo do Piauí";-;-;-;-;-;-
"220265 Caxingó";-;-;-;-;-;-
"220270 Cocal";-;-;-;-;-;-
"220271 Cocal de Telha";-;-;-;-;-;-
"220272 Cocal dos Alves";-;-;-;-;-;-
"220273 Coivaras";-;-;-;-;-;-
"220275 Colônia do Gurguéia";-;-;-;-;-;-
"220277 Colônia do Piauí";-;-;-;-;-;-
"220280 Conceição do Canindé";-;-;-;-;-;-
"220285 Coronel José Dias";-;-;-;-;-;-
"220290 Corrente";-;-;-;-;-;-
"220300 Cristalândia do Piauí";-;-;-;-;-;-
"220310 Cristino Castro";-;-;-;-;-;-
"220320 Curimatá";-;-;-;-;-;-
"220323 Currais";-;-;-;-;-;-
"220327 Curral Novo do Piauí";-;-;-;-;-;-
"220325 Curralinhos";-;-;-;-;-;-
"220330 Demerval Lobão";-;-;-;-;-;-
"220335 Dirceu Arcoverde";-;-;-;-;-;-
"220340 Dom Expedito Lopes";-;-;-;-;-;-
"220345 Dom Inocêncio";-;-;-;-;-;-
"220342 Domingos Mourão";-;-;-;-;-;-
"220350 Elesbão Veloso";-;-;-;-;-;-
"220360 Eliseu Martins";-;-;-;-;-;-
"220370 Esperantina";-;-;-;-;-;-
"220375 Fartura do Piauí";-;-;-;-;-;-
"220380 Flores do Piauí";-;-;-;-;-;-
"220385 Floresta do Piauí";-;-;-;-;-;-
"220390 Floriano";-;-;10;-;-;10
"220400 Francinópolis";-;-;-;-;-;-
"220410 Francisco Ayres";-;-;-;-;-;-
"220415 Francisco Macedo";-;-;-;-;-;-
"220420 Francisco Santos";-;-;-;-;-;-
"220430 Fronteiras";1;-;-;-;-;1
"220435 Geminiano";-;-;-;-;-;-
"220440 Gilbués";-;-;-;-;-;-
"220450 Guadalupe";-;-;-;-;-;-
"220455 Guaribas";-;-;-;-;-;-
"220460 Hugo Napoleão";-;-;-;-;-;-
"220465 Ilha Grande";-;-;-;-;-;-
"220470 Inhuma";-;-;-;-;-;-
"220480 Ipiranga do Piauí";-;-;-;-;-;-
"220490 Isaías Coelho";-;-;-;-;-;-
"220500 Itainópolis";-;-;-;-;-;-
"220510 Itaueira";-;-;-;-;-;-
"220515 Jacobina do Piauí";-;-;-;-;-;-
"220520 Jaicós";-;-;-;-;-;-
"220525 Jardim do Mulato";-;-;-;-;-;-
"220527 Jatobá do Piauí";-;-;-;-;-;-
"220530 Jerumenha";-;-;-;-;-;-
"220535 João Costa";-;-;-;-;-;-
"220540 Joaquim Pires";-;-;-;-;-;-
"220545 Joca Marques";-;-;-;-;-;-
"220550 José de Freitas";-;-;-;-;-;-
"220551 Juazeiro do Piauí";-;-;-;-;-;-
"220552 Júlio Borges";-;-;-;-;-;-
"220553 Jurema";-;-;-;-;-;-
"220555 Lagoa Alegre";-;-;-;-;-;-
"220557 Lagoa de São Francisco";-;-;-;-;-;-
"220556 Lagoa do Barro do Piauí";-;-;-;-;-;-
"220558 Lagoa do Piauí";-;-;-;-;-;-
"220559 Lagoa do Sítio";-;-;-;-;-;-
"220554 Lagoinha do Piauí";-;-;-;-;-;-
"220560 Landri Sales";-;-;-;-;-;-
"220570 Luís Correia";-;-;-;-;-;-
"220580 Luzilândia";-;-;-;-;-;-
"220585 Madeiro";-;-;-;-;-;-
"220590 Manoel Emídio";-;-;-;-;-;-
"220595 Marcolândia";-;-;-;-;-;-
"220600 Marcos Parente";-;-;-;-;-;-
"220605 Massapê do Piauí";-;-;-;-;-;-
"220610 Matias Olímpio";-;-;-;-;-;-
"220620 Miguel Alves";2;-;-;-;-;2
"220630 Miguel Leão";-;-;-;-;-;-
"220635 Milton Brandão";-;-;-;-;-;-
"220640 Monsenhor Gil";-;-;-;-;-;-
"220650 Monsenhor Hipólito";-;-;-;-;-;-
"220660 Monte Alegre do Piauí";-;-;-;-;-;-
"220665 Morro Cabeça no Tempo";-;-;-;-;-;-
"220667 Morro do Chapéu do Piauí";-;-;-;-;-;-
"220669 Murici dos Portelas";-;-;-;-;-;-
"220670 Nazaré do Piauí";-;-;-;-;-;-
"220672 Nazária";-;-;-;-;-;-
"220675 Nossa Senhora de Nazaré";-;-;-;-;-;-
"220680 Nossa Senhora dos Remédios";-;-;-;-;-;-
"220795 Nova Santa Rita";-;-;-;-;-;-
"220690 Novo Oriente do Piauí";-;-;-;-;-;-
"220695 Novo Santo Antônio";-;-;-;-;-;-
"220700 Oeiras";-;-;10;-;-;10
"220710 Olho D'Água do Piauí";-;-;-;-;-;-
"220720 Padre Marcos";-;-;-;-;-;-
"220730 Paes Landim";-;-;-;-;-;-
"220735 Pajeú do Piauí";-;-;-;-;-;-
"220740 Palmeira do Piauí";-;-;-;-;-;-
"220750 Palmeirais";-;-;-;-;-;-
"220755 Paquetá";-;-;-;-;-;-
"220760 Parnaguá";-;-;-;-;-;-
"220770 Parnaíba";2;11;32;-;-;45
"220775 Passagem Franca do Piauí";-;-;-;-;-;-
"220777 Patos do Piauí";-;-;-;-;-;-
"220779 Pau D'Arco do Piauí";-;-;-;-;-;-
"220780 Paulistana";3;-;-;-;-;3
"220785 Pavussu";-;-;-;-;-;-
"220790 Pedro II";1;-;-;-;-;1
"220793 Pedro Laurentino";-;-;-;-;-;-
"220800 Picos";5;-;-;5;2;12
"220810 Pimenteiras";-;-;-;-;-;-
"220820 Pio IX";-;-;-;-;-;-
"220830 Piracuruca";-;-;-;-;-;-
"220840 Piripiri";2;-;10;-;-;12
"220850 Porto";-;-;-;-;-;-
"220855 Porto Alegre do Piauí";-;-;-;-;-;-
"220860 Prata do Piauí";-;-;-;-;-;-
"220865 Queimada Nova";-;-;-;-;-;-
"220870 Redenção do Gurguéia";-;-;-;-;-;-
"220880 Regeneração";-;-;-;-;-;-
"220885 Riacho Frio";-;-;-;-;-;-
"220887 Ribeira do Piauí";-;-;-;-;-;-
"220890 Ribeiro Gonçalves";-;-;-;-;-;-
"220900 Rio Grande do Piauí";-;-;-;-;-;-
"220910 Santa Cruz do Piauí";-;-;-;-;-;-
"220915 Santa Cruz dos Milagres";-;-;-;-;-;-
"220920 Santa Filomena";-;-;-;-;-;-
"220930 Santa Luz";-;-;-;-;-;-
"220937 Santa Rosa do Piauí";-;-;-;-;-;-
"220935 Santana do Piauí";-;-;-;-;-;-
"220940 Santo Antônio de Lisboa";-;-;-;-;-;-
"220945 Santo Antônio dos Milagres";-;-;-;-;-;-
"220950 Santo Inácio do Piauí";-;-;-;-;-;-
"220955 São Braz do Piauí";-;-;-;-;-;-
"220960 São Félix do Piauí";-;-;-;-;-;-
"220965 São Francisco de Assis do Piauí";-;-;-;-;-;-
"220970 São Francisco do Piauí";-;-;-;-;-;-
"220975 São Gonçalo do Gurguéia";-;-;-;-;-;-
"220980 São Gonçalo do Piauí";-;-;-;-;-;-
"220985 São João da Canabrava";-;-;-;-;-;-
"220987 São João da Fronteira";-;-;-;-;-;-
"220990 São João da Serra";-;-;-;-;-;-
"220995 São João da Varjota";-;-;-;-;-;-
"220997 São João do Arraial";-;-;-;-;-;-
"221000 São João do Piauí";-;-;-;-;-;-
"221005 São José do Divino";-;-;-;-;-;-
"221010 São José do Peixe";-;-;-;-;-;-
"221020 São José do Piauí";-;-;-;-;-;-
"221030 São Julião";-;-;-;-;-;-
"221035 São Lourenço do Piauí";-;-;-;-;-;-
"221037 São Luis do Piauí";-;-;-;-;-;-
"221038 São Miguel da Baixa Grande";-;-;-;-;-;-
"221039 São Miguel do Fidalgo";-;-;-;-;-;-
"221040 São Miguel do Tapuio";-;-;-;-;-;-
"221050 São Pedro do Piauí";1;-;-;-;-;1
"221060 São Raimundo Nonato";7;-;-;-;-;7
"221062 Sebastião Barros";-;-;-;-;-;-
"221063 Sebastião Leal";-;-;-;-;-;-
"221065 Sigefredo Pacheco";-;-;-;-;-;-
"221070 Simões";-;-;-;-;-;-
"221080 Simplício Mendes";-;-;-;-;-;-
"221090 Socorro do Piauí";-;-;-;-;-;-
"221093 Sussuapara";-;-;-;-;-;-
"221095 Tamboril do Piauí";-;-;-;-;-;-
"221097 Tanque do Piauí";-;-;-;-;-;-
"221100 Teresina";37;25;96;28;4;190
"221110 União";1;-;-;-;-;1
"221120 Uruçuí";-;-;-;-;-;-
"221130 Valença do Piauí";-;-;-;-;-;-
"221135 Várzea Branca";-;-;-;-;-;-
"221140 Várzea Grande";-;-;-;-;-;-
"221150 Vera Mendes";-;-;-;-;-;-
"221160 Vila Nova do Piauí";-;-;-;-;-;-
"221170 Wall Ferraz";-;-;-;-;-;-
"220000 Município ignorado - PI";-;-;-;-;-;-
"230010 Abaiara";-;-;-;-;-;-
"230015 Acarape";-;-;-;-;-;-
"230020 Acaraú";-;-;-;-;-;-
"230030 Acopiara";-;-;-;-;-;-
"230040 Aiuaba";1;-;-;-;-;1
"230050 Alcântaras";-;-;-;-;-;-
"230060 Altaneira";-;-;-;-;-;-
"230070 Alto Santo";1;-;-;-;-;1
"230075 Amontada";-;-;-;-;-;-
"230080 Antonina do Norte";-;-;-;-;-;-
"230090 Apuiarés";-;-;-;-;-;-
"230100 Aquiraz";-;-;-;-;-;-
"230110 Aracati";2;-;-;-;-;2
"230120 Aracoiaba";-;-;-;-;-;-
"230125 Ararendá";-;-;-;-;-;-
"230130 Araripe";-;-;-;-;1;1
"230140 Aratuba";-;-;-;-;-;-
"230150 Arneiroz";-;-;-;-;-;-
"230160 Assaré";2;-;-;-;-;2
"230170 Aurora";-;-;-;-;-;-
"230180 Baixio";-;-;-;-;-;-
"230185 Banabuiú";-;-;-;-;-;-
"230190 Barbalha";4;-;18;-;-;22
"230195 Barreira";-;-;-;-;-;-
"230200 Barro";-;-;-;-;-;-
"230205 Barroquinha";-;-;-;-;-;-
"230210 Baturité";-;-;-;-;-;-
"230220 Beberibe";-;-;-;-;-;-
"230230 Bela Cruz";-;-;-;-;-;-
"230240 Boa Viagem";-;-;-;-;-;-
"230250 Brejo Santo";4;-;10;-;-;14
"230260 Camocim";-;-;-;-;-;-
"230270 Campos Sales";-;-;-;-;-;-
"230280 Canindé";-;-;-;-;-;-
"230290 Capistrano";-;-;-;-;-;-
"230300 Caridade";-;-;-;-;-;-
"230310 Cariré";-;-;-;-;-;-
"230320 Caririaçu";-;-;-;-;-;-
"230330 Cariús";3;-;-;-;-;3
"230340 Carnaubal";-;-;-;-;-;-
"230350 Cascavel";-;-;-;-;-;-
"230360 Catarina";-;-;-;-;-;-
"230365 Catunda";-;-;-;-;-;-
"230370 Caucaia";3;-;-;-;4;7
"230380 Cedro";-;-;-;-;-;-
"230390 Chaval";2;-;-;-;2;4
"230393 Choró";-;-;-;-;-;-
"230395 Chorozinho";-;-;-;-;-;-
"230400 Coreaú";-;-;-;-;-;-
"230410 Crateús";2;2;10;-;-;14
"230420 Crato";-;15;20;-;-;35
"230423 Croatá";-;-;-;-;-;-
"230425 Cruz";-;-;-;-;-;-
"230426 Deputado Irapuan Pinheiro";-;-;-;-;-;-
"230427 Ererê";-;-;-;-;-;-
"230428 Eusébio";-;-;-;-;-;-
"230430 Farias Brito";-;-;-;-;-;-
"230435 Forquilha";-;-;-;-;-;-
"230440 Fortaleza";49;73;386;83;100;691
"230445 Fortim";-;-;-;-;-;-
"230450 Frecheirinha";-;-;-;-;-;-
"230460 General Sampaio";-;-;-;-;-;-
"230465 Graça";-;-;-;-;-;-
"230470 Granja";-;-;-;-;-;-
"230480 Granjeiro";-;-;-;-;-;-
"230490 Groaíras";-;-;-;-;-;-
"230495 Guaiúba";-;-;-;-;-;-
"230500 Guaraciaba do Norte";-;-;-;-;-;-
"230510 Guaramiranga";-;-;-;-;-;-
"230520 Hidrolândia";-;-;-;-;-;-
"230523 Horizonte";-;-;-;-;-;-
"230526 Ibaretama";-;-;-;-;-;-
"230530 Ibiapina";1;-;-;-;-;1
"230533 Ibicuitinga";-;-;-;-;-;-
"230535 Icapuí";-;-;-;-;-;-
"230540 Icó";-;-;-;-;-;-
"230550 Iguatu";2;6;-;-;-;8
"230560 Independência";-;-;-;-;-;-
"230565 Ipaporanga";-;-;-;-;-;-
"230570 Ipaumirim";-;-;-;-;-;-
"230580 Ipu";2;-;-;-;-;2
"230590 Ipueiras";-;-;-;-;-;-
"230600 Iracema";2;-;-;-;-;2
"230610 Irauçuba";-;-;-;-;-;-
"230620 Itaiçaba";-;-;-;-;-;-
"230625 Itaitinga";-;-;-;-;-;-
"230630 Itapagé";-;-;-;-;-;-
"230640 Itapipoca";-;-;-;-;-;-
"230650 Itapiúna";-;-;-;-;-;-
"230655 Itarema";-;-;-;-;-;-
"230660 Itatira";-;-;-;-;-;-
"230670 Jaguaretama";-;-;-;-;-;-
"230680 Jaguaribara";1;-;-;-;-;1
"230690 Jaguaribe";-;-;-;-;-;-
"230700 Jaguaruana";-;-;-;-;-;-
"230710 Jardim";-;-;-;-;-;-
"230720 Jati";-;-;-;-;-;-
"230725 Jijoca de Jericoacoara";-;-;-;-;-;-
"230730 Juazeiro do Norte";2;6;50;-;-;58
"230740 Jucás";-;-;-;-;-;-
"230750 Lavras da Mangabeira";2;-;-;-;-;2
"230760 Limoeiro do Norte";-;-;-;-;-;-
"230763 Madalena";-;-;-;-;-;-
"230765 Maracanaú";2;10;-;-;-;12
"230770 Maranguape";-;-;-;-;-;-
"230780 Marco";1;-;-;-;-;1
"230790 Martinópole";-;-;-;-;-;-
"230800 Massapê";-;-;-;-;-;-
"230810 Mauriti";2;-;-;-;-;2
"230820 Meruoca";-;-;-;-;-;-
"230830 Milagres";-;-;-;-;-;-
"230835 Milhã";-;-;-;-;-;-
"230837 Miraíma";-;-;-;-;-;-
"230840 Missão Velha";1;-;-;-;-;1
"230850 Mombaça";-;-;-;-;-;-
"230860 Monsenhor Tabosa";-;-;-;-;-;-
"230870 Morada Nova";-;-;-;-;-;-
"230880 Moraújo";-;-;-;-;-;-
"230890 Morrinhos";-;-;-;-;-;-
"230900 Mucambo";-;-;-;-;-;-
"230910 Mulungu";-;-;-;-;-;-
"230920 Nova Olinda";-;-;-;-;-;-
"230930 Nova Russas";-;-;-;-;-;-
"230940 Novo Oriente";-;-;-;-;-;-
"230945 Ocara";-;-;-;-;2;2
"230950 Orós";-;-;-;-;-;-
"230960 Pacajus";-;-;-;-;6;6
"230970 Pacatuba";-;-;-;-;-;-
"230980 Pacoti";-;-;-;-;-;-
"230990 Pacujá";-;-;-;-;-;-
"231000 Palhano";-;-;-;-;-;-
"231010 Palmácia";-;-;-;-;-;-
"231020 Paracuru";1;-;-;-;-;1
"231025 Paraipaba";-;-;-;-;-;-
"231030 Parambu";1;-;-;-;-;1
"231040 Paramoti";-;-;-;-;-;-
"231050 Pedra Branca";-;-;-;-;-;-
"231060 Penaforte";1;-;-;-;-;1
"231070 Pentecoste";-;-;-;-;-;-
"231080 Pereiro";-;-;-;-;-;-
"231085 Pindoretama";-;-;-;-;-;-
"231090 Piquet Carneiro";-;-;-;-;-;-
"231095 Pires Ferreira";-;-;-;-;-;-
"231100 Poranga";-;-;-;-;-;-
"231110 Porteiras";-;-;-;-;-;-
"231120 Potengi";-;-;-;-;-;-
"231123 Potiretama";-;-;-;-;-;-
"231126 Quiterianópolis";-;-;-;-;2;2
"231130 Quixadá";2;-;-;-;-;2
"231135 Quixelô";1;-;-;-;-;1
"231140 Quixeramobim";2;-;30;-;-;32
"231150 Quixeré";-;-;-;-;-;-
"231160 Redenção";-;-;-;-;-;-
"231170 Reriutaba";-;-;-;-;-;-
"231180 Russas";1;-;-;-;-;1
"231190 Saboeiro";1;-;-;-;-;1
"231195 Salitre";-;-;-;-;-;-
"231220 Santa Quitéria";3;-;-;-;-;3
"231200 Santana do Acaraú";-;-;-;-;-;-
"231210 Santana do Cariri";-;-;-;-;-;-
"231230 São Benedito";-;-;-;-;-;-
"231240 São Gonçalo do Amarante";-;-;-;-;-;-
"231250 São João do Jaguaribe";-;-;-;-;-;-
"231260 São Luís do Curu";-;-;-;-;-;-
"231270 Senador Pompeu";-;-;-;-;-;-
"231280 Senador Sá";-;-;-;-;-;-
"231290 Sobral";-;-;83;-;-;83
"231300 Solonópole";-;-;-;-;-;-
"231310 Tabuleiro do Norte";1;-;-;-;-;1
"231320 Tamboril";-;-;-;-;-;-
"231325 Tarrafas";-;-;-;-;-;-
"231330 Tauá";-;-;-;-;-;-
"231335 Tejuçuoca";-;-;-;-;-;-
"231340 Tianguá";2;-;-;-;-;2
"231350 Trairi";-;-;-;-;-;-
"231355 Tururu";-;-;-;-;-;-
"231360 Ubajara";-;-;-;-;-;-
"231370 Umari";-;-;-;-;-;-
"231375 Umirim";-;-;-;-;-;-
"231380 Uruburetama";2;-;-;-;-;2
"231390 Uruoca";-;-;-;-;-;-
"231395 Varjota";-;-;-;-;-;-
"231400 Várzea Alegre";4;-;-;-;-;4
"231410 Viçosa do Ceará";-;-;-;-;-;-
"230000 Município ignorado - CE";-;-;-;-;-;-
"240010 Acari";-;-;-;-;-;-
"240020 Açu";2;-;-;-;-;2
"240030 Afonso Bezerra";-;-;-;-;-;-
"240040 Água Nova";-;-;-;-;-;-
"240050 Alexandria";-;-;-;-;-;-
"240060 Almino Afonso";-;-;-;-;-;-
"240070 Alto do Rodrigues";-;-;-;-;-;-
"240080 Angicos";-;-;-;-;-;-
"240090 Antônio Martins";-;-;-;-;-;-
"240100 Apodi";-;-;-;-;-;-
"240110 Areia Branca";-;-;-;-;-;-
"240120 Arês";-;-;-;-;-;-
"240130 Augusto Severo";-;-;-;-;-;-
"240140 Baía Formosa";-;-;-;-;-;-
"240145 Baraúna";-;-;-;-;-;-
"240150 Barcelona";-;-;-;-;-;-
"240160 Bento Fernandes";-;-;-;-;-;-
"240165 Bodó";-;-;-;-;-;-
"240170 Bom Jesus";-;-;-;-;-;-
"240180 Brejinho";-;-;-;-;-;-
"240185 Caiçara do Norte";-;-;-;-;-;-
"240190 Caiçara do Rio do Vento";-;-;-;-;-;-
"240200 Caicó";5;10;-;-;-;15
"240210 Campo Redondo";-;-;-;-;-;-
"240220 Canguaretama";-;-;-;-;-;-
"240230 Caraúbas";-;-;-;-;-;-
"240240 Carnaúba dos Dantas";-;-;-;-;-;-
"240250 Carnaubais";-;-;-;-;-;-
"240260 Ceará-Mirim";2;-;-;-;-;2
"240270 Cerro Corá";-;-;-;-;-;-
"240280 Coronel Ezequiel";-;-;-;-;-;-
"240290 Coronel João Pessoa";-;-;-;-;-;-
"240300 Cruzeta";-;-;-;-;-;-
"240310 Currais Novos";-;-;10;-;-;10
"240320 Doutor Severiano";-;-;-;-;-;-
"240330 Encanto";-;-;-;-;-;-
"240340 Equador";-;-;-;-;-;-
"240350 Espírito Santo";-;-;-;-;-;-
"240360 Extremoz";-;-;-;-;-;-
"240370 Felipe Guerra";-;-;-;-;-;-
"240375 Fernando Pedroza";-;-;-;-;-;-
"240380 Florânia";-;-;-;-;-;-
"240390 Francisco Dantas";-;-;-;-;-;-
"240400 Frutuoso Gomes";-;-;-;-;-;-
"240410 Galinhos";-;-;-;-;-;-
"240420 Goianinha";-;-;-;-;-;-
"240430 Governador Dix-Sept Rosado";-;-;-;-;-;-
"240440 Grossos";-;-;-;-;-;-
"240450 Guamaré";-;-;-;-;-;-
"240460 Ielmo Marinho";-;-;-;-;-;-
"240470 Ipanguaçu";-;-;-;-;6;6
"240480 Ipueira";-;-;-;-;-;-
"240485 Itajá";-;-;-;-;-;-
"240490 Itaú";-;-;-;-;-;-
"240500 Jaçanã";-;-;-;-;-;-
"240510 Jandaíra";-;-;-;-;-;-
"240520 Janduís";1;-;-;-;-;1
"240530 Januário Cicco";-;-;-;-;-;-
"240540 Japi";-;-;-;-;-;-
"240550 Jardim de Angicos";-;-;-;-;-;-
"240560 Jardim de Piranhas";-;-;-;-;-;-
"240570 Jardim do Seridó";-;-;-;-;-;-
"240580 João Câmara";-;-;-;-;-;-
"240590 João Dias";-;-;-;-;-;-
"240600 José da Penha";-;-;-;-;-;-
"240610 Jucurutu";1;-;-;-;-;1
