"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Fem";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"292205 Mulungu do Morro";-;-;-;-
"292210 Mundo Novo";-;-;-;3
"292220 Muniz Ferreira";-;-;-;-
"292225 Muquém de São Francisco";-;-;-;-
"292230 Muritiba";3;3;2;3
"292240 Mutuípe";1;1;1;-
"292250 Nazaré";2;2;2;1
"292260 Nilo Peçanha";2;-;-;3
"292265 Nordestina";-;-;-;3
"292270 Nova Canaã";-;-;-;3
"292273 Nova Fátima";-;-;-;3
"292275 Nova Ibiá";-;-;-;6
"292280 Nova Itarana";-;3;3;-
"292285 Nova Redenção";-;-;-;-
"292290 Nova Soure";-;-;-;2
"292300 Nova Viçosa";2;2;2;6
"292303 Novo Horizonte";-;-;-;-
"292305 Novo Triunfo";-;-;-;-
"292310 Olindina";-;-;-;-
"292320 Oliveira dos Brejinhos";-;-;-;-
"292330 Ouriçangas";-;-;-;-
"292335 Ourolândia";-;-;-;-
"292340 Palmas de Monte Alto";-;-;-;4
"292350 Palmeiras";-;-;-;-
"292360 Paramirim";-;-;-;7
"292370 Paratinga";-;4;4;3
"292380 Paripiranga";-;-;-;-
"292390 Pau Brasil";-;-;-;2
"292400 Paulo Afonso";7;6;6;3
"292405 Pé de Serra";2;2;2;-
"292410 Pedrão";-;-;-;-
"292420 Pedro Alexandre";-;-;-;-
"292430 Piatã";-;-;-;-
"292440 Pilão Arcado";-;-;-;3
"292450 Pindaí";-;2;-;2
"292460 Pindobaçu";-;-;-;-
"292465 Pintadas";-;-;-;-
"292467 Piraí do Norte";-;-;-;-
"292470 Piripá";-;-;-;2
"292480 Piritiba";-;-;-;3
"292490 Planaltino";-;-;-;3
"292500 Planalto";-;2;2;-
"292510 Poções";-;-;-;4
"292520 Pojuca";-;-;-;18
"292525 Ponto Novo";-;-;-;2
"292530 Porto Seguro";13;9;9;13
"292540 Potiraguá";-;-;-;1
"292550 Prado";1;2;-;9
"292560 Presidente Dutra";-;-;-;-
"292570 Presidente Jânio Quadros";-;3;4;-
"292575 Presidente Tancredo Neves";-;-;-;4
"292580 Queimadas";-;-;-;-
"292590 Quijingue";-;-;-;-
"292593 Quixabeira";-;-;-;-
"292595 Rafael Jambeiro";-;2;4;1
"292600 Remanso";-;2;2;7
"292610 Retirolândia";-;-;-;-
"292620 Riachão das Neves";-;-;-;-
"292630 Riachão do Jacuípe";-;1;-;2
"292640 Riacho de Santana";-;-;-;1
"292650 Ribeira do Amparo";-;-;-;-
"292660 Ribeira do Pombal";5;4;4;2
"292665 Ribeirão do Largo";-;-;-;-
"292670 Rio de Contas";-;-;-;-
"292680 Rio do Antônio";-;-;-;-
"292690 Rio do Pires";-;3;3;-
"292700 Rio Real";3;2;2;13
"292710 Rodelas";-;-;-;-
"292720 Ruy Barbosa";-;-;-;4
"292730 Salinas da Margarida";2;5;4;-
"292740 Salvador";229;212;190;473
"292750 Santa Bárbara";1;-;-;1
"292760 Santa Brígida";-;-;-;-
"292770 Santa Cruz Cabrália";-;-;-;3
"292780 Santa Cruz da Vitória";-;-;-;4
"292790 Santa Inês";-;-;-;2
"292805 Santa Luzia";-;-;-;-
"292810 Santa Maria da Vitória";2;2;2;10
"292840 Santa Rita de Cássia";-;-;1;3
"292850 Santa Teresinha";-;-;-;2
"292800 Santaluz";-;3;2;1
"292820 Santana";-;-;-;3
"292830 Santanópolis";-;-;-;1
"292860 Santo Amaro";-;5;4;5
"292870 Santo Antônio de Jesus";4;5;-;34
"292880 Santo Estêvão";-;-;-;15
"292890 São Desidério";-;-;-;1
"292895 São Domingos";-;-;-;-
"292910 São Felipe";-;2;2;-
"292900 São Félix";-;2;2;1
"292905 São Félix do Coribe";-;-;-;2
"292920 São Francisco do Conde";3;5;2;2
"292925 São Gabriel";-;-;-;-
"292930 São Gonçalo dos Campos";-;1;1;3
"292935 São José da Vitória";-;-;-;-
"292937 São José do Jacuípe";1;-;-;-
"292940 São Miguel das Matas";-;-;-;2
"292950 São Sebastião do Passé";3;3;3;-
"292960 Sapeaçu";-;2;-;-
"292970 Sátiro Dias";-;-;-;8
"292975 Saubara";3;4;4;-
"292980 Saúde";-;-;-;1
"292990 Seabra";5;7;7;-
"293000 Sebastião Laranjeiras";-;2;2;-
"293010 Senhor do Bonfim";-;-;-;3
"293020 Sento Sé";-;-;-;6
"293015 Serra do Ramalho";-;-;-;8
"293030 Serra Dourada";-;-;-;-
"293040 Serra Preta";-;-;-;-
"293050 Serrinha";-;1;2;13
"293060 Serrolândia";-;-;-;2
"293070 Simões Filho";11;9;8;9
"293075 Sítio do Mato";-;-;-;-
"293076 Sítio do Quinto";-;-;-;2
"293077 Sobradinho";2;3;3;1
"293080 Souto Soares";-;-;-;-
"293090 Tabocas do Brejo Velho";-;-;-;3
"293100 Tanhaçu";-;-;-;-
"293105 Tanque Novo";2;-;-;8
"293110 Tanquinho";-;-;-;-
"293120 Taperoá";-;-;4;-
"293130 Tapiramutá";-;-;-;1
"293135 Teixeira de Freitas";7;5;3;25
"293140 Teodoro Sampaio";-;-;-;2
"293150 Teofilândia";-;-;-;-
"293160 Teolândia";-;-;-;1
"293170 Terra Nova";-;4;4;-
"293180 Tremedal";-;-;-;3
"293190 Tucano";-;-;-;8
"293200 Uauá";-;-;-;-
"293210 Ubaíra";2;3;3;-
"293220 Ubaitaba";1;1;1;-
"293230 Ubatã";-;-;-;3
"293240 Uibaí";-;-;-;1
"293245 Umburanas";-;-;-;-
"293250 Una";-;-;-;4
"293260 Urandi";-;-;-;-
"293270 Uruçuca";5;4;3;5
"293280 Utinga";-;-;-;3
"293290 Valença";5;4;4;5
"293300 Valente";2;2;2;12
"293305 Várzea da Roça";-;-;-;2
"293310 Várzea do Poço";-;-;1;2
"293315 Várzea Nova";4;-;-;16
"293317 Varzedo";-;-;-;-
"293320 Vera Cruz";3;1;-;4
"293325 Vereda";-;3;-;2
"293330 Vitória da Conquista";23;27;25;16
"293340 Wagner";-;-;-;4
"293345 Wanderley";-;-;-;-
"293350 Wenceslau Guimarães";-;-;-;1
"293360 Xique-Xique";-;-;-;3
"290000 Município ignorado - BA";-;-;-;-
"310010 Abadia dos Dourados";-;-;-;-
"310020 Abaeté";4;2;2;5
"310030 Abre Campo";-;-;-;-
"310040 Acaiaca";-;-;-;-
"310050 Açucena";-;-;-;-
"310060 Água Boa";-;-;-;-
"310070 Água Comprida";-;-;-;2
"310080 Aguanil";-;-;-;-
"310090 Águas Formosas";-;2;1;-
"310100 Águas Vermelhas";-;-;-;6
"310110 Aimorés";-;-;-;3
"310120 Aiuruoca";-;-;-;-
"310130 Alagoa";-;-;-;-
"310140 Albertina";-;-;-;-
"310150 Além Paraíba";-;2;2;-
"310160 Alfenas";3;2;3;4
"310163 Alfredo Vasconcelos";-;-;-;-
"310170 Almenara";-;-;-;4
"310180 Alpercata";-;-;-;-
"310190 Alpinópolis";3;3;3;-
"310200 Alterosa";1;4;4;-
"310205 Alto Caparaó";-;-;-;-
"315350 Alto Jequitibá";-;-;-;-
"310210 Alto Rio Doce";-;-;-;-
"310220 Alvarenga";-;-;-;-
"310230 Alvinópolis";-;-;-;1
"310240 Alvorada de Minas";-;-;-;-
"310250 Amparo do Serra";-;-;-;-
"310260 Andradas";-;5;5;-
"310280 Andrelândia";-;-;-;-
"310285 Angelândia";-;-;-;-
"310290 Antônio Carlos";-;-;-;-
"310300 Antônio Dias";-;-;-;-
"310310 Antônio Prado de Minas";-;-;-;4
"310320 Araçaí";-;-;-;-
"310330 Aracitaba";-;-;-;-
"310340 Araçuaí";-;-;-;4
"310350 Araguari";5;5;5;12
"310360 Arantina";-;1;-;-
"310370 Araponga";-;-;-;-
"310375 Araporã";-;-;-;-
"310380 Arapuá";-;-;-;-
"310390 Araújos";-;-;-;4
"310400 Araxá";3;3;-;9
"310410 Arceburgo";-;-;-;4
"310420 Arcos";-;3;3;-
"310430 Areado";-;-;-;2
"310440 Argirita";-;-;1;-
"310445 Aricanduva";-;-;1;-
"310450 Arinos";-;-;-;-
"310460 Astolfo Dutra";-;-;-;3
"310470 Ataléia";-;-;-;4
"310480 Augusto de Lima";-;-;-;-
"310490 Baependi";-;-;-;3
"310500 Baldim";-;-;-;-
"310510 Bambuí";2;3;3;6
"310520 Bandeira";-;-;-;2
"310530 Bandeira do Sul";-;-;-;-
"310540 Barão de Cocais";2;2;2;1
"310550 Barão de Monte Alto";-;3;3;-
"310560 Barbacena";2;7;5;36
"310570 Barra Longa";2;-;-;6
"310590 Barroso";-;-;-;3
"310600 Bela Vista de Minas";-;-;-;-
"310610 Belmiro Braga";-;-;-;-
"310620 Belo Horizonte";180;127;122;498
"310630 Belo Oriente";2;3;-;-
"310640 Belo Vale";1;2;2;-
"310650 Berilo";-;-;-;-
"310665 Berizal";-;-;-;-
"310660 Bertópolis";-;-;-;-
"310670 Betim";57;43;98;99
"310680 Bias Fortes";-;-;-;-
"310690 Bicas";-;-;-;2
"310700 Biquinhas";2;3;3;-
"310710 Boa Esperança";3;2;3;4
"310720 Bocaina de Minas";-;-;-;-
"310730 Bocaiúva";-;-;-;2
"310740 Bom Despacho";5;7;7;2
"310750 Bom Jardim de Minas";-;-;-;-
"310760 Bom Jesus da Penha";-;-;-;2
"310770 Bom Jesus do Amparo";-;-;-;-
"310780 Bom Jesus do Galho";-;-;-;-
"310790 Bom Repouso";-;-;-;-
"310800 Bom Sucesso";-;-;-;2
"310810 Bonfim";-;3;3;-
"310820 Bonfinópolis de Minas";-;-;-;-
"310825 Bonito de Minas";-;-;-;-
"310830 Borda da Mata";2;3;3;19
"310840 Botelhos";-;-;-;-
"310850 Botumirim";-;-;-;-
"310870 Brás Pires";-;-;-;-
"310855 Brasilândia de Minas";2;2;2;-
"310860 Brasília de Minas";2;2;2;-
"310880 Braúnas";-;-;-;-
"310890 Brazópolis";-;-;-;4
"310900 Brumadinho";5;5;4;2
"310910 Bueno Brandão";-;-;-;3
"310920 Buenópolis";-;-;-;-
"310925 Bugre";-;-;-;-
"310930 Buritis";5;3;3;2
"310940 Buritizeiro";-;2;2;2
"310945 Cabeceira Grande";-;-;-;-
"310950 Cabo Verde";-;-;-;-
"310960 Cachoeira da Prata";-;-;-;-
"310970 Cachoeira de Minas";-;-;-;-
"310270 Cachoeira de Pajeú";-;-;-;1
"310980 Cachoeira Dourada";-;-;-;-
"310990 Caetanópolis";3;-;-;3
"311000 Caeté";-;4;4;2
"311010 Caiana";-;-;-;-
"311020 Cajuri";-;-;-;-
"311030 Caldas";-;-;-;-
"311040 Camacho";-;-;-;-
"311050 Camanducaia";1;3;3;5
"311060 Cambuí";-;-;-;6
"311070 Cambuquira";-;-;-;-
"311080 Campanário";-;-;-;-
"311090 Campanha";2;3;3;1
"311100 Campestre";-;-;1;5
"311110 Campina Verde";-;6;6;-
"311115 Campo Azul";-;-;-;-
"311120 Campo Belo";5;5;5;5
"311130 Campo do Meio";-;-;-;-
"311140 Campo Florido";-;-;-;-
"311150 Campos Altos";-;-;-;2
"311160 Campos Gerais";-;-;-;1
"311190 Cana Verde";-;-;-;-
"311170 Canaã";-;-;-;-
"311180 Canápolis";-;-;-;2
"311200 Candeias";-;-;-;-
"311205 Cantagalo";-;-;-;-
"311210 Caparaó";-;-;-;-
"311220 Capela Nova";-;-;-;-
"311230 Capelinha";-;3;-;3
"311240 Capetinga";-;-;-;-
"311250 Capim Branco";-;-;-;2
"311260 Capinópolis";-;-;-;3
"311265 Capitão Andrade";-;-;-;-
"311270 Capitão Enéas";-;-;-;1
"311280 Capitólio";-;-;-;-
"311290 Caputira";-;-;-;-
"311300 Caraí";-;3;3;-
"311310 Caranaíba";-;-;-;-
"311320 Carandaí";-;-;1;3
"311330 Carangola";2;7;4;1
"311340 Caratinga";1;1;1;2
"311350 Carbonita";-;-;-;1
"311360 Careaçu";-;-;-;-
"311370 Carlos Chagas";-;-;-;-
"311380 Carmésia";-;-;-;-
"311390 Carmo da Cachoeira";-;-;-;3
"311400 Carmo da Mata";-;-;-;-
"311410 Carmo de Minas";-;1;-;5
"311420 Carmo do Cajuru";-;-;-;-
"311430 Carmo do Paranaíba";8;10;6;2
"311440 Carmo do Rio Claro";1;2;2;-
"311450 Carmópolis de Minas";-;2;2;-
"311455 Carneirinho";-;-;-;-
"311460 Carrancas";-;-;-;-
"311470 Carvalhópolis";-;-;-;-
"311480 Carvalhos";-;-;-;2
"311490 Casa Grande";-;-;-;-
"311500 Cascalho Rico";-;-;-;-
"311510 Cássia";1;3;4;-
"311530 Cataguases";-;14;12;3
"311535 Catas Altas";-;-;-;-
"311540 Catas Altas da Noruega";-;-;-;-
"311545 Catuji";-;-;-;-
"311547 Catuti";-;-;-;-
"311550 Caxambu";-;2;1;-
"311560 Cedro do Abaeté";-;-;-;-
"311570 Central de Minas";-;-;-;-
"311580 Centralina";-;-;-;2
"311590 Chácara";-;-;-;-
"311600 Chalé";-;-;-;-
"311610 Chapada do Norte";-;-;-;-
"311615 Chapada Gaúcha";-;-;-;5
"311620 Chiador";-;-;-;-
"311630 Cipotânea";-;-;-;-
"311640 Claraval";-;-;-;1
"311650 Claro dos Poções";-;-;-;-
"311660 Cláudio";-;-;-;4
"311670 Coimbra";-;2;2;-
"311680 Coluna";-;-;-;-
"311690 Comendador Gomes";-;-;-;-
"311700 Comercinho";-;-;-;3
"311710 Conceição da Aparecida";-;-;-;1
"311520 Conceição da Barra de Minas";-;4;2;-
"311730 Conceição das Alagoas";4;4;8;3
"311720 Conceição das Pedras";-;-;-;-
"311740 Conceição de Ipanema";-;-;-;-
"311750 Conceição do Mato Dentro";1;2;2;-
"311760 Conceição do Pará";-;-;-;-
"311770 Conceição do Rio Verde";-;-;-;-
"311780 Conceição dos Ouros";-;-;-;-
"311783 Cônego Marinho";-;-;-;-
"311787 Confins";-;-;-;-
"311790 Congonhal";-;-;-;-
"311800 Congonhas";9;10;10;17
"311810 Congonhas do Norte";1;1;-;-
"311820 Conquista";-;-;-;1
"311830 Conselheiro Lafaiete";6;21;19;19
"311840 Conselheiro Pena";-;-;-;-
"311850 Consolação";-;-;-;-
"311860 Contagem";44;45;45;6
"311870 Coqueiral";-;-;-;-
"311880 Coração de Jesus";-;-;-;6
"311890 Cordisburgo";-;-;-;15
"311900 Cordislândia";-;-;-;-
"311910 Corinto";5;4;4;-
"311920 Coroaci";-;-;-;1
"311930 Coromandel";1;-;4;2
"311940 Coronel Fabriciano";14;12;12;13
"311950 Coronel Murta";-;-;-;-
"311960 Coronel Pacheco";-;-;-;-
"311970 Coronel Xavier Chaves";-;-;-;-
"311980 Córrego Danta";-;-;-;-
"311990 Córrego do Bom Jesus";-;-;-;-
"311995 Córrego Fundo";-;-;-;1
"312000 Córrego Novo";-;-;-;-
"312010 Couto de Magalhães de Minas";-;-;-;-
"312015 Crisólita";-;-;-;-
"312020 Cristais";-;-;-;-
"312030 Cristália";-;-;-;-
"312040 Cristiano Otoni";-;-;-;-
"312050 Cristina";-;-;-;-
"312060 Crucilândia";-;-;-;-
"312070 Cruzeiro da Fortaleza";-;-;-;-
"312080 Cruzília";3;5;5;-
"312083 Cuparaque";-;-;-;-
"312087 Curral de Dentro";-;-;-;-
"312090 Curvelo";9;11;7;4
"312100 Datas";-;-;-;-
"312110 Delfim Moreira";-;-;-;-
"312120 Delfinópolis";-;-;-;-
"312125 Delta";-;-;-;-
"312130 Descoberto";-;-;-;-
"312140 Desterro de Entre Rios";-;-;-;3
"312150 Desterro do Melo";-;-;-;-
"312160 Diamantina";1;7;5;8
"312170 Diogo de Vasconcelos";-;-;-;-
"312180 Dionísio";-;-;-;1
"312190 Divinésia";-;-;-;-
"312200 Divino";5;3;3;-
"312210 Divino das Laranjeiras";-;-;-;-
"312220 Divinolândia de Minas";-;-;-;-
"312230 Divinópolis";5;19;19;13
"312235 Divisa Alegre";-;-;-;-
"312240 Divisa Nova";-;-;-;-
"312245 Divisópolis";-;-;-;-
"312247 Dom Bosco";-;-;-;-
"312250 Dom Cavati";-;-;-;-
"312260 Dom Joaquim";-;-;-;-
"312270 Dom Silvério";-;-;-;1
"312280 Dom Viçoso";-;-;-;-
"312290 Dona Eusébia";-;-;-;-
"312300 Dores de Campos";-;-;-;-
"312310 Dores de Guanhães";-;-;-;-
"312320 Dores do Indaiá";-;-;-;-
"312330 Dores do Turvo";-;-;-;-
"312340 Doresópolis";-;-;-;-
"312350 Douradoquara";-;-;-;-
"312352 Durandé";-;-;-;-
"312360 Elói Mendes";-;3;3;-
"312370 Engenheiro Caldas";-;-;-;-
"312380 Engenheiro Navarro";-;-;-;-
"312385 Entre Folhas";-;-;-;-
"312390 Entre Rios de Minas";-;-;-;1
"312400 Ervália";-;-;-;6
"312410 Esmeraldas";7;8;4;8
"312420 Espera Feliz";-;-;-;6
"312430 Espinosa";-;-;-;30
"312440 Espírito Santo do Dourado";-;-;-;-
"312450 Estiva";-;-;-;2
"312460 Estrela Dalva";-;-;-;-
"312470 Estrela do Indaiá";-;-;-;-
"312480 Estrela do Sul";-;-;-;1
"312490 Eugenópolis";1;2;2;-
"312500 Ewbank da Câmara";-;-;-;-
"312510 Extrema";3;2;2;-
"312520 Fama";-;-;-;-
"312530 Faria Lemos";-;-;-;-
"312540 Felício dos Santos";-;-;-;-
"312560 Felisburgo";-;-;-;2
"312570 Felixlândia";-;-;-;-
"312580 Fernandes Tourinho";-;-;-;-
"312590 Ferros";-;-;-;4
"312595 Fervedouro";-;-;-;-
"312600 Florestal";-;-;-;-
"312610 Formiga";-;-;-;10
"312620 Formoso";-;-;-;1
"312630 Fortaleza de Minas";-;-;-;-
"312640 Fortuna de Minas";-;-;-;-
"312650 Francisco Badaró";4;3;3;1
"312660 Francisco Dumont";-;-;-;-
"312670 Francisco Sá";-;-;-;3
"312675 Franciscópolis";-;-;-;-
"312680 Frei Gaspar";-;-;-;-
"312690 Frei Inocêncio";-;-;-;-
"312695 Frei Lagonegro";-;-;-;-
"312700 Fronteira";-;-;-;-
"312705 Fronteira dos Vales";-;-;-;-
"312707 Fruta de Leite";-;-;-;-
"312710 Frutal";7;10;6;-
"312720 Funilândia";-;-;-;-
"312730 Galiléia";-;-;-;-
"312733 Gameleiras";-;-;-;-
"312735 Glaucilândia";-;-;-;-
"312737 Goiabeira";-;-;-;-
"312738 Goianá";-;-;-;-
"312740 Gonçalves";-;-;-;-
"312750 Gonzaga";-;-;-;-
"312760 Gouveia";-;-;-;1
"312770 Governador Valadares";6;7;7;40
"312780 Grão Mogol";-;-;-;-
"312790 Grupiara";-;-;-;-
"312800 Guanhães";-;-;-;3
"312810 Guapé";-;-;-;-
"312820 Guaraciaba";-;-;-;-
"312825 Guaraciama";-;-;-;-
"312830 Guaranésia";-;-;-;2
"312840 Guarani";-;1;1;-
"312850 Guarará";-;-;-;-
"312860 Guarda-Mor";-;-;-;-
"312870 Guaxupé";6;3;4;-
"312880 Guidoval";-;-;-;-
"312890 Guimarânia";-;-;-;-
"312900 Guiricema";2;3;3;-
"312910 Gurinhatã";-;-;-;-
"312920 Heliodora";-;-;-;-
"312930 Iapu";-;-;-;-
"312940 Ibertioga";-;-;-;-
"312950 Ibiá";3;3;3;-
"312960 Ibiaí";-;-;-;-
"312965 Ibiracatu";-;-;-;-
"312970 Ibiraci";-;-;-;3
"312980 Ibirité";9;8;8;21
"312990 Ibitiúra de Minas";-;-;-;-
"313000 Ibituruna";-;-;-;-
"313005 Icaraí de Minas";-;-;-;-
"313010 Igarapé";3;3;3;1
"313020 Igaratinga";-;-;3;3
"313030 Iguatama";-;-;-;-
"313040 Ijaci";-;-;-;-
"313050 Ilicínea";-;-;-;-
"313055 Imbé de Minas";-;-;-;-
"313060 Inconfidentes";-;-;-;-
"313065 Indaiabira";-;-;-;-
"313070 Indianópolis";-;-;-;-
"313080 Ingaí";-;-;-;-
"313090 Inhapim";-;-;-;2
"313100 Inhaúma";-;-;-;-
"313110 Inimutaba";-;-;-;-
"313115 Ipaba";-;-;-;-
"313120 Ipanema";-;3;4;-
"313130 Ipatinga";24;15;10;81
"313140 Ipiaçu";-;-;-;2
"313150 Ipuiúna";-;-;-;-
"313160 Iraí de Minas";-;-;-;-
"313170 Itabira";6;4;-;34
"313180 Itabirinha";-;-;-;-
"313190 Itabirito";14;12;12;10
"313200 Itacambira";-;-;-;-
"313210 Itacarambi";-;3;2;-
"313220 Itaguara";4;3;3;-
"313230 Itaipé";-;-;-;-
"313240 Itajubá";9;8;8;13
"313250 Itamarandiba";1;1;1;-
"313260 Itamarati de Minas";-;-;-;3
"313270 Itambacuri";-;-;-;5
"313280 Itambé do Mato Dentro";-;-;-;3
"313290 Itamogi";-;-;-;-
"313300 Itamonte";-;-;-;4
"313310 Itanhandu";-;3;3;-
"313320 Itanhomi";-;-;-;-
"313330 Itaobim";-;-;-;3
"313340 Itapagipe";4;3;1;1
"313350 Itapecerica";-;-;-;2
"313360 Itapeva";-;-;-;-
"313370 Itatiaiuçu";2;3;3;-
"313375 Itaú de Minas";-;-;-;-
"313380 Itaúna";-;-;-;6
"313390 Itaverava";-;-;-;-
"313400 Itinga";-;-;-;-
"313410 Itueta";-;-;-;-
"313420 Ituiutaba";-;-;-;10
"313430 Itumirim";-;-;-;-
"313440 Iturama";2;4;1;-
"313450 Itutinga";3;3;4;-
"313460 Jaboticatubas";-;1;1;-
"313470 Jacinto";-;-;-;3
"313480 Jacuí";-;-;-;-
"313490 Jacutinga";-;-;-;4
"313500 Jaguaraçu";-;-;-;-
"313505 Jaíba";-;-;-;-
"313507 Jampruca";-;-;-;-
"313510 Janaúba";-;-;-;11
"313520 Januária";-;-;-;24
"313530 Japaraíba";-;-;-;-
"313535 Japonvar";-;-;-;-
"313540 Jeceaba";-;-;-;2
"313545 Jenipapo de Minas";-;-;-;-
"313550 Jequeri";-;-;-;-
"313560 Jequitaí";-;-;-;-
"313570 Jequitibá";-;-;-;-
"313580 Jequitinhonha";-;1;1;-
"313590 Jesuânia";-;-;-;-
"313600 Joaíma";-;-;-;3
"313610 Joanésia";-;-;-;-
"313620 João Monlevade";1;-;-;1
"313630 João Pinheiro";-;-;-;2
"313640 Joaquim Felício";-;-;-;-
"313650 Jordânia";-;-;-;2
"313652 José Gonçalves de Minas";-;-;-;-
"313655 José Raydan";-;-;-;-
"313657 Josenópolis";-;-;-;-
"313665 Juatuba";3;3;3;2
"313670 Juiz de Fora";38;8;8;61
"313680 Juramento";-;-;-;-
"313690 Juruaia";2;3;4;-
"313695 Juvenília";-;-;-;-
"313700 Ladainha";-;-;-;-
"313710 Lagamar";-;-;-;-
"313720 Lagoa da Prata";3;-;-;-
"313730 Lagoa dos Patos";-;-;-;4
"313740 Lagoa Dourada";-;-;-;-
"313750 Lagoa Formosa";3;3;3;-
"313753 Lagoa Grande";-;-;-;-
"313760 Lagoa Santa";3;3;3;7
"313770 Lajinha";-;3;2;9
"313780 Lambari";-;1;1;1
"313790 Lamim";-;-;-;-
"313800 Laranjal";-;-;-;1
"313810 Lassance";-;-;-;-
"313820 Lavras";15;14;14;17
"313830 Leandro Ferreira";-;-;-;-
"313835 Leme do Prado";-;-;-;-
"313840 Leopoldina";3;4;4;-
"313850 Liberdade";-;-;-;-
"313860 Lima Duarte";2;2;2;1
"313862 Limeira do Oeste";-;-;-;-
"313865 Lontra";-;-;-;-
"313867 Luisburgo";-;-;-;-
"313868 Luislândia";-;-;-;-
"313870 Luminárias";-;-;-;-
"313880 Luz";-;-;-;3
"313890 Machacalis";-;-;-;2
"313900 Machado";15;15;15;2
"313910 Madre de Deus de Minas";-;-;-;-
"313920 Malacacheta";-;1;1;-
"313925 Mamonas";-;-;-;-
"313930 Manga";-;-;-;6
"313940 Manhuaçu";5;-;-;9
"313950 Manhumirim";-;3;3;-
"313960 Mantena";3;4;3;-
"313980 Mar de Espanha";1;4;5;-
"313970 Maravilhas";-;-;-;-
"313990 Maria da Fé";-;-;-;6
"314000 Mariana";2;2;2;3
"314010 Marilac";-;-;-;-
"314015 Mário Campos";-;-;-;-
"314020 Maripá de Minas";-;-;-;-
"314030 Marliéria";-;-;-;-
"314040 Marmelópolis";-;-;-;-
"314050 Martinho Campos";-;-;-;7
"314053 Martins Soares";-;-;-;-
"314055 Mata Verde";2;2;2;-
"314060 Materlândia";-;-;-;-
"314070 Mateus Leme";6;6;6;3
"317150 Mathias Lobato";-;-;-;-
"314080 Matias Barbosa";-;-;-;1
"314085 Matias Cardoso";-;-;-;4
"314090 Matipó";-;6;7;-
"314100 Mato Verde";-;-;-;-
"314110 Matozinhos";3;4;4;1
"314120 Matutina";-;-;-;-
"314130 Medeiros";-;-;-;2
"314140 Medina";-;-;-;4
"314150 Mendes Pimentel";-;-;-;-
"314160 Mercês";-;1;1;-
"314170 Mesquita";-;-;-;-
"314180 Minas Novas";-;-;-;1
"314190 Minduri";-;-;-;-
"314200 Mirabela";-;3;3;-
"314210 Miradouro";-;-;-;-
"314220 Miraí";-;2;1;-
"314225 Miravânia";-;-;-;-
"314230 Moeda";-;-;-;-
"314240 Moema";-;-;-;-
"314250 Monjolos";-;-;-;-
"314260 Monsenhor Paulo";1;-;-;4
"314270 Montalvânia";-;4;4;-
"314280 Monte Alegre de Minas";-;-;-;6
"314290 Monte Azul";-;-;-;6
"314300 Monte Belo";-;2;2;-
"314310 Monte Carmelo";-;-;-;2
"314315 Monte Formoso";-;-;-;-
"314320 Monte Santo de Minas";3;4;3;-
"314340 Monte Sião";-;-;-;4
"314330 Montes Claros";23;32;28;20
"314345 Montezuma";-;-;-;-
"314350 Morada Nova de Minas";-;-;-;-
"314360 Morro da Garça";-;-;-;-
"314370 Morro do Pilar";-;-;-;-
"314380 Munhoz";-;-;-;-
"314390 Muriaé";7;7;7;27
"314400 Mutum";-;7;6;-
"314410 Muzambinho";-;-;-;4
"314420 Nacip Raydan";-;-;-;-
"314430 Nanuque";-;-;-;-
"314435 Naque";-;-;-;-
"314437 Natalândia";-;-;-;-
"314440 Natércia";-;-;-;4
"314450 Nazareno";-;-;-;2
"314460 Nepomuceno";-;-;-;-
"314465 Ninheira";-;-;-;-
"314467 Nova Belém";-;-;-;-
"314470 Nova Era";2;-;-;6
"314480 Nova Lima";15;11;11;16
"314490 Nova Módica";-;-;-;-
"314500 Nova Ponte";-;-;-;2
"314505 Nova Porteirinha";-;-;-;-
"314510 Nova Resende";-;2;2;-
"314520 Nova Serrana";-;-;-;8
"313660 Nova União";-;-;-;-
"314530 Novo Cruzeiro";-;-;-;-
"314535 Novo Oriente de Minas";-;-;-;-
"314537 Novorizonte";-;-;-;-
"314540 Olaria";-;-;-;-
"314545 Olhos-d'Água";-;-;-;-
"314550 Olímpio Noronha";-;-;-;-
"314560 Oliveira";4;5;5;2
"314570 Oliveira Fortes";-;-;-;-
"314580 Onça de Pitangui";-;-;-;-
"314585 Oratórios";-;-;-;-
"314587 Orizânia";-;-;-;-
"314590 Ouro Branco";4;2;2;5
"314600 Ouro Fino";-;-;-;-
"314610 Ouro Preto";6;5;5;7
"314620 Ouro Verde de Minas";-;-;-;-
"314625 Padre Carvalho";-;-;-;-
"314630 Padre Paraíso";-;-;-;3
"314655 Pai Pedro";-;-;-;-
"314640 Paineiras";2;2;2;-
"314650 Pains";-;-;-;-
"314660 Paiva";-;-;-;-
"314670 Palma";-;-;-;2
"314675 Palmópolis";-;-;3;-
"314690 Papagaios";-;-;-;-
"314710 Pará de Minas";1;-;-;9
"314700 Paracatu";7;4;4;1
"314720 Paraguaçu";1;2;2;2
"314730 Paraisópolis";2;2;2;2
"314740 Paraopeba";-;4;4;-
"314760 Passa Quatro";-;3;3;-
"314770 Passa Tempo";-;-;-;1
"314780 Passa-Vinte";-;-;-;-
"314750 Passabém";-;-;-;-
"314790 Passos";2;3;2;10
