"Município";"Equipamentos Existentes";"Equipamentos em Uso";"Estab c/ Equip SUS"
"320120 Cachoeiro de Itapemirim";151;135;5
"320130 Cariacica";80;80;4
"320140 Castelo";8;8;1
"320150 Colatina";70;67;3
"320160 Conceição da Barra";1;1;1
"320170 Conceição do Castelo";2;2;1
"320180 Divino de São Lourenço";-;-;-
"320190 Domingos Martins";2;2;1
"320200 Dores do Rio Preto";-;-;-
"320210 Ecoporanga";1;1;1
"320220 Fundão";-;-;-
"320225 Governador Lindenberg";-;-;-
"320230 Guaçuí";16;16;2
"320240 Guarapari";15;14;4
"320245 Ibatiba";1;1;1
"320250 Ibiraçu";4;4;1
"320255 Ibitirama";4;3;2
"320260 Iconha";5;4;1
"320265 Irupi";-;-;-
"320270 Itaguaçu";1;1;1
"320280 Itapemirim";7;7;2
"320290 Itarana";1;1;1
"320300 Iúna";3;3;1
"320305 Jaguaré";2;2;1
"320310 Jerônimo Monteiro";1;1;1
"320313 João Neiva";1;1;1
"320316 Laranja da Terra";-;-;-
"320320 Linhares";64;56;3
"320330 Mantenópolis";1;1;1
"320332 Marataízes";-;-;-
"320334 Marechal Floriano";2;2;1
"320335 Marilândia";-;-;-
"320340 Mimoso do Sul";2;2;1
"320350 Montanha";-;-;-
"320360 Mucurici";-;-;-
"320370 Muniz Freire";1;1;1
"320380 Muqui";-;-;-
"320390 Nova Venécia";4;4;2
"320400 Pancas";1;1;-
"320405 Pedro Canário";1;1;1
"320410 Pinheiros";-;-;-
"320420 Piúma";-;-;-
"320425 Ponto Belo";-;-;-
"320430 Presidente Kennedy";1;1;1
"320435 Rio Bananal";-;-;-
"320440 Rio Novo do Sul";-;-;-
"320450 Santa Leopoldina";3;3;1
"320455 Santa Maria de Jetibá";5;5;1
"320460 Santa Teresa";23;23;1
"320465 São Domingos do Norte";-;-;-
"320470 São Gabriel da Palha";6;6;1
"320480 São José do Calçado";8;6;1
"320490 São Mateus";74;74;3
"320495 São Roque do Canaã";1;1;1
"320500 Serra";192;192;6
"320501 Sooretama";-;-;-
"320503 Vargem Alta";2;2;2
"320506 Venda Nova do Imigrante";16;16;2
"320510 Viana";7;7;2
"320515 Vila Pavão";-;-;-
"320517 Vila Valério";1;1;1
"320520 Vila Velha";249;230;8
"320530 Vitória";387;339;18
"320000 Município ignorado - ES";-;-;-
"330010 Angra dos Reis";66;66;13
"330015 Aperibé";2;2;1
"330020 Araruama";57;52;4
"330022 Areal";2;2;1
"330023 Armação dos Búzios";1;1;1
"330025 Arraial do Cabo";7;5;3
"330030 Barra do Piraí";14;14;4
"330040 Barra Mansa";49;48;8
"330045 Belford Roxo";39;39;9
"330050 Bom Jardim";4;3;1
"330060 Bom Jesus do Itabapoana";7;7;1
"330070 Cabo Frio";61;51;10
"330080 Cachoeiras de Macacu";2;2;2
"330090 Cambuci";4;4;1
"330100 Campos dos Goytacazes";306;298;14
"330110 Cantagalo";6;6;1
"330093 Carapebus";1;1;1
"330115 Cardoso Moreira";-;-;-
"330120 Carmo";2;2;1
"330130 Casimiro de Abreu";4;4;2
"330095 Comendador Levy Gasparian";1;1;1
"330140 Conceição de Macabu";2;2;1
"330150 Cordeiro";1;1;1
"330160 Duas Barras";1;1;1
"330170 Duque de Caxias";319;287;15
"330180 Engenheiro Paulo de Frontin";3;3;3
"330185 Guapimirim";2;2;1
"330187 Iguaba Grande";8;5;1
"330190 Itaboraí";28;26;5
"330200 Itaguaí";21;21;2
"330205 Italva";-;-;-
"330210 Itaocara";11;11;1
"330220 Itaperuna";72;72;4
"330225 Itatiaia";10;6;1
"330227 Japeri";7;7;3
"330230 Laje do Muriaé";1;1;1
"330240 Macaé";127;127;8
"330245 Macuco";1;1;1
"330250 Magé";18;18;7
"330260 Mangaratiba";7;4;2
"330270 Maricá";23;17;3
"330280 Mendes";1;1;-
"330285 Mesquita";36;36;8
"330290 Miguel Pereira";3;3;1
"330300 Miracema";7;7;1
"330310 Natividade";2;2;1
"330320 Nilópolis";52;52;3
"330330 Niterói";435;414;19
"330340 Nova Friburgo";41;39;5
"330350 Nova Iguaçu";140;139;11
"330360 Paracambi";3;3;2
"330370 Paraíba do Sul";25;17;2
"330380 Paraty";4;4;2
"330385 Paty do Alferes";-;-;-
"330390 Petrópolis";169;163;12
"330395 Pinheiral";2;2;1
"330400 Piraí";7;7;2
"330410 Porciúncula";2;2;1
"330411 Porto Real";7;7;1
"330412 Quatis";1;1;1
"330414 Queimados";10;9;5
"330415 Quissamã";5;4;1
"330420 Resende";110;102;5
"330430 Rio Bonito";12;12;3
"330440 Rio Claro";9;9;1
"330450 Rio das Flores";-;-;-
"330452 Rio das Ostras";38;36;2
"330455 Rio de Janeiro";4327;3950;132
"330460 Santa Maria Madalena";2;2;1
"330470 Santo Antônio de Pádua";7;7;3
"330480 São Fidélis";7;5;1
"330475 São Francisco de Itabapoana";5;3;2
"330490 São Gonçalo";226;214;17
"330500 São João da Barra";16;15;6
"330510 São João de Meriti";54;46;7
"330513 São José de Ubá";2;2;1
"330515 São José do Vale do Rio Preto";2;2;1
"330520 São Pedro da Aldeia";14;12;3
"330530 São Sebastião do Alto";3;3;1
"330540 Sapucaia";1;-;1
"330550 Saquarema";5;5;1
"330555 Seropédica";13;13;4
"330560 Silva Jardim";2;2;1
"330570 Sumidouro";1;1;1
"330575 Tanguá";1;1;1
"330580 Teresópolis";43;42;5
"330590 Trajano de Moraes";1;1;1
"330600 Três Rios";51;49;5
"330610 Valença";43;41;5
"330615 Varre-Sai";1;1;1
"330620 Vassouras";48;46;2
"330630 Volta Redonda";234;228;18
"330000 Município ignorado - RJ";-;-;-
"350010 Adamantina";9;9;2
"350020 Adolfo";-;-;-
"350030 Aguaí";1;1;1
"350040 Águas da Prata";1;1;1
"350050 Águas de Lindóia";3;3;2
"350055 Águas de Santa Bárbara";-;-;-
"350060 Águas de São Pedro";1;1;1
"350070 Agudos";4;4;2
"350075 Alambari";-;-;-
"350080 Alfredo Marcondes";-;-;-
"350090 Altair";-;-;-
"350100 Altinópolis";2;2;1
"350110 Alto Alegre";1;1;1
"350115 Alumínio";1;1;1
"350120 Álvares Florence";-;-;-
"350130 Álvares Machado";1;1;1
"350140 Álvaro de Carvalho";-;-;-
"350150 Alvinlândia";-;-;-
"350160 Americana";91;91;3
"350170 Américo Brasiliense";26;24;5
"350180 Américo de Campos";-;-;-
"350190 Amparo";25;21;3
"350200 Analândia";-;-;-
"350210 Andradina";15;13;2
"350220 Angatuba";1;1;1
"350230 Anhembi";-;-;-
"350240 Anhumas";-;-;-
"350250 Aparecida";18;18;2
"350260 Aparecida d'Oeste";1;1;1
"350270 Apiaí";7;4;2
"350275 Araçariguama";2;2;2
"350280 Araçatuba";76;76;8
"350290 Araçoiaba da Serra";-;-;-
"350300 Aramina";-;-;-
"350310 Arandu";2;2;1
"350315 Arapeí";1;1;1
"350320 Araraquara";102;90;9
"350330 Araras";67;64;4
"350335 Arco-Íris";-;-;-
"350340 Arealva";2;1;1
"350350 Areias";-;-;-
"350360 Areiópolis";-;-;-
"350370 Ariranha";-;-;-
"350380 Artur Nogueira";7;4;-
"350390 Arujá";27;22;2
"350395 Aspásia";-;-;-
"350400 Assis";74;66;3
"350410 Atibaia";38;38;5
"350420 Auriflama";2;2;1
"350430 Avaí";-;-;-
"350440 Avanhandava";-;-;-
"350450 Avaré";18;16;4
"350460 Bady Bassitt";1;1;1
"350470 Balbinos";-;-;-
"350480 Bálsamo";-;-;-
"350490 Bananal";2;2;1
"350500 Barão de Antonina";-;-;-
"350510 Barbosa";-;-;-
"350520 Bariri";1;1;1
"350530 Barra Bonita";8;8;1
"350535 Barra do Chapéu";-;-;-
"350540 Barra do Turvo";4;4;2
"350550 Barretos";118;118;4
"350560 Barrinha";1;1;1
"350570 Barueri";140;139;9
"350580 Bastos";3;3;1
"350590 Batatais";10;10;3
"350600 Bauru";214;190;12
"350610 Bebedouro";26;26;2
"350620 Bento de Abreu";-;-;-
"350630 Bernardino de Campos";2;2;1
"350635 Bertioga";13;13;3
"350640 Bilac";2;2;1
"350650 Birigui";17;16;3
"350660 Biritiba-Mirim";3;1;2
"350670 Boa Esperança do Sul";1;1;1
"350680 Bocaina";2;2;1
"350690 Bofete";1;1;1
"350700 Boituva";7;7;2
"350710 Bom Jesus dos Perdões";1;1;1
"350715 Bom Sucesso de Itararé";1;1;1
"350720 Borá";-;-;-
"350730 Boracéia";-;-;-
"350740 Borborema";3;3;2
"350745 Borebi";-;-;-
"350750 Botucatu";134;134;3
"350760 Bragança Paulista";74;74;8
"350770 Braúna";1;1;1
"350775 Brejo Alegre";-;-;-
"350780 Brodowski";1;-;1
"350790 Brotas";1;1;1
"350800 Buri";1;1;1
"350810 Buritama";1;1;1
"350820 Buritizal";-;-;-
"350830 Cabrália Paulista";-;-;-
"350840 Cabreúva";4;4;1
"350850 Caçapava";19;19;1
"350860 Cachoeira Paulista";5;3;1
"350870 Caconde";1;1;1
"350880 Cafelândia";4;4;1
"350890 Caiabu";-;-;-
"350900 Caieiras";38;33;2
"350910 Caiuá";-;-;-
"350920 Cajamar";20;20;8
"350925 Cajati";1;1;1
"350930 Cajobi";2;2;1
"350940 Cajuru";2;2;1
"350945 Campina do Monte Alegre";1;1;1
"350950 Campinas";700;685;18
"350960 Campo Limpo Paulista";7;7;3
"350970 Campos do Jordão";13;13;2
"350980 Campos Novos Paulista";-;-;-
"350990 Cananéia";-;-;-
"350995 Canas";-;-;-
"351000 Cândido Mota";2;1;1
"351010 Cândido Rodrigues";-;-;-
"351015 Canitar";-;-;-
"351020 Capão Bonito";5;5;1
"351030 Capela do Alto";1;1;1
"351040 Capivari";26;25;1
"351050 Caraguatatuba";40;40;5
"351060 Carapicuíba";46;46;3
"351070 Cardoso";2;2;1
"351080 Casa Branca";3;3;3
"351090 Cássia dos Coqueiros";-;-;-
"351100 Castilho";1;1;1
"351110 Catanduva";79;78;9
"351120 Catiguá";-;-;-
"351130 Cedral";-;-;-
"351140 Cerqueira César";2;2;1
"351150 Cerquilho";3;3;1
"351160 Cesário Lange";1;1;1
"351170 Charqueada";4;4;1
"355720 Chavantes";2;2;1
"351190 Clementina";1;1;1
"351200 Colina";2;2;2
"351210 Colômbia";-;-;-
"351220 Conchal";6;6;1
"351230 Conchas";2;2;1
"351240 Cordeirópolis";1;1;-
"351250 Coroados";-;-;-
"351260 Coronel Macedo";-;-;-
"351270 Corumbataí";2;2;2
"351280 Cosmópolis";6;6;2
"351290 Cosmorama";-;-;-
"351300 Cotia";55;54;4
"351310 Cravinhos";1;1;1
"351320 Cristais Paulista";-;-;-
"351330 Cruzália";-;-;-
"351340 Cruzeiro";30;29;2
"351350 Cubatão";54;52;7
"351360 Cunha";5;5;1
"351370 Descalvado";3;3;2
"351380 Diadema";170;151;9
"351385 Dirce Reis";-;-;-
"351390 Divinolândia";2;2;1
"351400 Dobrada";-;-;-
"351410 Dois Córregos";2;2;1
"351420 Dolcinópolis";-;-;-
"351430 Dourado";2;2;2
"351440 Dracena";18;18;2
"351450 Duartina";3;3;1
"351460 Dumont";2;2;2
"351470 Echaporã";1;1;1
"351480 Eldorado";-;-;-
"351490 Elias Fausto";4;4;1
"351492 Elisiário";-;-;-
"351495 Embaúba";-;-;-
"351500 Embu das Artes";19;19;4
"351510 Embu-Guaçu";16;14;3
"351512 Emilianópolis";-;-;-
"351515 Engenheiro Coelho";1;1;1
"351518 Espírito Santo do Pinhal";7;7;2
"351519 Espírito Santo do Turvo";1;1;1
"355730 Estiva Gerbi";-;-;-
"351520 Estrela d'Oeste";2;2;1
"351530 Estrela do Norte";-;-;-
"351535 Euclides da Cunha Paulista";-;-;-
"351540 Fartura";3;3;1
"351560 Fernando Prestes";-;-;-
"351550 Fernandópolis";26;25;4
"351565 Fernão";-;-;-
"351570 Ferraz de Vasconcelos";41;33;2
"351580 Flora Rica";-;-;-
"351590 Floreal";-;-;-
"351600 Flórida Paulista";2;2;1
"351610 Florínia";-;-;-
"351620 Franca";116;114;7
"351630 Francisco Morato";30;30;2
"351640 Franco da Rocha";44;38;4
"351650 Gabriel Monteiro";-;-;-
"351660 Gália";1;1;1
"351670 Garça";7;7;2
"351680 Gastão Vidigal";-;-;-
"351685 Gavião Peixoto";1;1;1
"351690 General Salgado";1;1;1
"351700 Getulina";-;-;-
"351710 Glicério";-;-;-
"351720 Guaiçara";-;-;-
"351730 Guaimbê";-;-;-
"351740 Guaíra";4;4;3
"351750 Guapiaçu";-;-;-
"351760 Guapiara";3;2;-
"351770 Guará";1;1;1
"351780 Guaraçaí";-;-;-
"351790 Guaraci";-;-;-
"351800 Guarani d'Oeste";-;-;-
"351810 Guarantã";-;-;-
"351820 Guararapes";5;5;1
"351830 Guararema";7;7;1
"351840 Guaratinguetá";68;66;3
"351850 Guareí";1;-;1
"351860 Guariba";5;5;1
"351870 Guarujá";124;123;8
"351880 Guarulhos";443;404;22
"351885 Guatapará";1;1;1
"351890 Guzolândia";-;-;-
"351900 Herculândia";1;1;1
"351905 Holambra";1;1;1
"351907 Hortolândia";18;15;6
"351910 Iacanga";-;-;-
"351920 Iacri";1;-;1
"351925 Iaras";-;-;-
"351930 Ibaté";3;3;1
"351940 Ibirá";1;1;1
"351950 Ibirarema";-;-;-
"351960 Ibitinga";6;6;2
"351970 Ibiúna";5;5;1
"351980 Icém";-;-;-
"351990 Iepê";1;1;1
"352000 Igaraçu do Tietê";-;-;-
"352010 Igarapava";2;2;1
"352020 Igaratá";-;-;-
"352030 Iguape";1;1;1
"352042 Ilha Comprida";1;1;1
"352044 Ilha Solteira";9;9;1
"352040 Ilhabela";6;6;1
"352050 Indaiatuba";74;74;3
"352060 Indiana";-;-;-
"352070 Indiaporã";4;1;1
"352080 Inúbia Paulista";1;1;1
"352090 Ipaussu";1;1;1
"352100 Iperó";1;1;1
"352110 Ipeúna";-;-;-
"352115 Ipiguá";-;-;-
"352120 Iporanga";1;1;1
"352130 Ipuã";1;1;1
"352140 Iracemápolis";2;1;1
"352150 Irapuã";-;-;-
"352160 Irapuru";-;-;-
"352170 Itaberá";1;1;1
"352180 Itaí";5;4;2
"352190 Itajobi";3;2;2
"352200 Itaju";-;-;-
"352210 Itanhaém";40;39;7
"352215 Itaóca";-;-;-
"352220 Itapecerica da Serra";75;68;5
"352230 Itapetininga";25;25;2
"352240 Itapeva";38;34;6
"352250 Itapevi";88;86;8
"352260 Itapira";18;18;2
"352265 Itapirapuã Paulista";-;-;-
"352270 Itápolis";8;8;1
"352280 Itaporanga";2;2;1
"352290 Itapuí";2;2;1
"352300 Itapura";-;-;-
"352310 Itaquaquecetuba";58;58;4
"352320 Itararé";4;3;1
"352330 Itariri";1;1;1
"352340 Itatiba";37;37;4
"352350 Itatinga";3;2;2
"352360 Itirapina";3;3;1
"352370 Itirapuã";-;-;-
"352380 Itobi";1;1;1
"352390 Itu";56;54;6
"352400 Itupeva";10;10;1
"352410 Ituverava";10;10;1
"352420 Jaborandi";-;-;-
"352430 Jaboticabal";14;13;2
"352440 Jacareí";95;95;6
"352450 Jaci";2;2;1
"352460 Jacupiranga";2;-;1
"352470 Jaguariúna";16;15;2
"352480 Jales";37;35;5
"352490 Jambeiro";-;-;-
"352500 Jandira";6;6;1
"352510 Jardinópolis";2;2;1
"352520 Jarinu";6;6;1
"352530 Jaú";108;107;7
"352540 Jeriquara";-;-;-
"352550 Joanópolis";1;1;1
"352560 João Ramalho";-;-;-
"352570 José Bonifácio";3;3;1
"352580 Júlio Mesquita";-;-;-
"352585 Jumirim";-;-;-
"352590 Jundiaí";212;210;19
"352600 Junqueirópolis";2;2;1
"352610 Juquiá";4;2;1
"352620 Juquitiba";1;1;1
"352630 Lagoinha";-;-;-
"352640 Laranjal Paulista";4;4;1
"352650 Lavínia";-;-;-
"352660 Lavrinhas";-;-;-
"352670 Leme";20;20;1
"352680 Lençóis Paulista";9;7;3
"352690 Limeira";104;98;7
"352700 Lindóia";6;6;1
"352710 Lins";34;33;2
"352720 Lorena";34;31;2
"352725 Lourdes";-;-;-
"352730 Louveira";9;8;1
"352740 Lucélia";3;3;1
"352750 Lucianópolis";-;-;-
"352760 Luís Antônio";1;1;1
"352770 Luiziânia";1;1;1
"352780 Lupércio";-;-;-
"352790 Lutécia";-;-;-
"352800 Macatuba";1;1;1
"352810 Macaubal";-;-;-
"352820 Macedônia";-;-;-
"352830 Magda";-;-;-
"352840 Mairinque";3;3;1
"352850 Mairiporã";4;4;2
"352860 Manduri";2;2;2
"352870 Marabá Paulista";-;-;-
"352880 Maracaí";1;1;1
"352885 Marapoama";-;-;-
"352890 Mariápolis";-;-;-
"352900 Marília";119;118;6
"352910 Marinópolis";-;-;-
"352920 Martinópolis";3;2;1
"352930 Matão";37;34;2
"352940 Mauá";86;86;6
"352950 Mendonça";-;-;-
"352960 Meridiano";-;-;-
"352965 Mesópolis";-;-;-
"352970 Miguelópolis";2;2;1
"352980 Mineiros do Tietê";1;1;1
"353000 Mira Estrela";-;-;-
"352990 Miracatu";1;1;1
"353010 Mirandópolis";10;10;1
"353020 Mirante do Paranapanema";-;-;-
"353030 Mirassol";6;6;2
"353040 Mirassolândia";-;-;-
"353050 Mococa";19;19;2
"353060 Mogi das Cruzes";233;193;10
"353070 Mogi Guaçu";35;34;5
"353080 Mogi Mirim";33;32;4
"353090 Mombuca";-;-;-
"353100 Monções";-;-;-
"353110 Mongaguá";7;7;3
"353120 Monte Alegre do Sul";-;-;-
"353130 Monte Alto";14;14;1
"353140 Monte Aprazível";3;3;1
"353150 Monte Azul Paulista";5;5;2
"353160 Monte Castelo";-;-;-
"353180 Monte Mor";5;5;1
"353170 Monteiro Lobato";1;-;1
"353190 Morro Agudo";2;2;1
"353200 Morungaba";4;4;2
"353205 Motuca";-;-;-
"353210 Murutinga do Sul";-;-;-
"353215 Nantes";-;-;-
"353220 Narandiba";-;-;-
"353230 Natividade da Serra";-;-;-
"353240 Nazaré Paulista";6;5;1
"353250 Neves Paulista";-;-;-
"353260 Nhandeara";5;4;1
"353270 Nipoã";-;-;-
"353280 Nova Aliança";-;-;-
"353282 Nova Campina";10;10;2
"353284 Nova Canaã Paulista";-;-;-
"353286 Nova Castilho";-;-;-
"353290 Nova Europa";2;2;1
"353300 Nova Granada";1;1;1
"353310 Nova Guataporanga";-;-;-
"353320 Nova Independência";-;-;-
"353330 Nova Luzitânia";-;-;-
"353340 Nova Odessa";7;7;2
"353325 Novais";-;-;-
"353350 Novo Horizonte";3;3;1
"353360 Nuporanga";1;1;-
"353370 Ocauçu";-;-;-
"353380 Óleo";-;-;-
"353390 Olímpia";15;15;2
"353400 Onda Verde";-;-;-
"353410 Oriente";-;-;-
"353420 Orindiúva";1;1;1
"353430 Orlândia";10;10;1
"353440 Osasco";204;193;17
"353450 Oscar Bressane";-;-;-
"353460 Osvaldo Cruz";10;10;2
"353470 Ourinhos";40;39;2
"353480 Ouro Verde";-;-;-
"353475 Ouroeste";3;3;1
"353490 Pacaembu";2;2;1
"353500 Palestina";-;-;-
"353510 Palmares Paulista";-;-;-
"353520 Palmeira d'Oeste";1;-;1
"353530 Palmital";3;3;1
"353540 Panorama";1;1;1
"353550 Paraguaçu Paulista";11;11;1
"353560 Paraibuna";-;-;-
"353570 Paraíso";-;-;-
"353580 Paranapanema";2;2;1
"353590 Paranapuã";-;-;-
"353600 Parapuã";1;1;1
"353610 Pardinho";-;-;-
"353620 Pariquera-Açu";33;31;2
"353625 Parisi";-;-;-
"353630 Patrocínio Paulista";1;1;1
"353640 Paulicéia";-;-;-
"353650 Paulínia";14;14;1
"353657 Paulistânia";-;-;-
"353660 Paulo de Faria";1;1;1
"353670 Pederneiras";9;9;2
"353680 Pedra Bela";1;1;1
"353690 Pedranópolis";-;-;-
"353700 Pedregulho";2;2;1
"353710 Pedreira";4;4;2
"353715 Pedrinhas Paulista";1;1;1
"353720 Pedro de Toledo";1;1;1
"353730 Penápolis";10;10;2
"353740 Pereira Barreto";1;1;1
"353750 Pereiras";-;-;-
"353760 Peruíbe";8;5;2
"353770 Piacatu";1;1;1
"353780 Piedade";4;4;2
"353790 Pilar do Sul";3;3;2
"353800 Pindamonhangaba";41;39;3
"353810 Pindorama";-;-;-
"353820 Pinhalzinho";2;2;1
"353830 Piquerobi";-;-;-
"353850 Piquete";1;1;1
"353860 Piracaia";3;3;1
"353870 Piracicaba";178;176;14
"353880 Piraju";4;4;1
"353890 Pirajuí";5;5;2
"353900 Pirangi";1;1;1
"353910 Pirapora do Bom Jesus";4;4;1
"353920 Pirapozinho";-;-;-
"353930 Pirassununga";23;23;3
"353940 Piratininga";1;1;1
"353950 Pitangueiras";4;4;1
"353960 Planalto";-;-;-
"353970 Platina";-;-;-
"353980 Poá";2;2;1
"353990 Poloni";1;-;-
"354000 Pompéia";3;3;1
"354010 Pongaí";-;-;-
"354020 Pontal";4;3;2
"354025 Pontalinda";-;-;-
"354030 Pontes Gestal";-;-;-
"354040 Populina";1;1;1
"354050 Porangaba";-;-;-
"354060 Porto Feliz";4;4;1
"354070 Porto Ferreira";13;11;1
"354075 Potim";1;1;1
"354080 Potirendaba";3;3;1
"354085 Pracinha";-;-;-
"354090 Pradópolis";2;2;1
"354100 Praia Grande";66;54;3
"354105 Pratânia";-;-;-
"354110 Presidente Alves";-;-;-
"354120 Presidente Bernardes";2;2;1
"354130 Presidente Epitácio";5;4;1
"354140 Presidente Prudente";132;132;5
"354150 Presidente Venceslau";6;6;1
"354160 Promissão";21;20;2
"354165 Quadra";-;-;-
"354170 Quatá";1;1;-
"354180 Queiroz";-;-;-
"354190 Queluz";2;2;2
"354200 Quintana";1;1;1
"354210 Rafard";-;-;-
"354220 Rancharia";14;14;1
"354230 Redenção da Serra";-;-;-
"354240 Regente Feijó";-;-;-
"354250 Reginópolis";-;-;-
"354260 Registro";12;12;3
"354270 Restinga";-;-;-
"354280 Ribeira";-;-;-
"354290 Ribeirão Bonito";-;-;-
"354300 Ribeirão Branco";2;2;1
"354310 Ribeirão Corrente";-;-;-
"354320 Ribeirão do Sul";-;-;-
"354323 Ribeirão dos Índios";-;-;-
"354325 Ribeirão Grande";-;-;-
"354330 Ribeirão Pires";27;27;3
"354340 Ribeirão Preto";528;521;16
"354360 Rifaina";2;2;1
"354370 Rincão";1;1;1
"354380 Rinópolis";1;1;1
"354390 Rio Claro";75;72;9
"354400 Rio das Pedras";2;2;1
"354410 Rio Grande da Serra";3;3;1
"354420 Riolândia";1;1;1
"354350 Riversul";-;-;-
"354425 Rosana";4;4;1
"354430 Roseira";1;1;1
"354440 Rubiácea";-;-;-
"354450 Rubinéia";-;-;-
"354460 Sabino";-;-;-
"354470 Sagres";-;-;-
"354480 Sales";-;-;-
"354490 Sales Oliveira";2;2;2
"354500 Salesópolis";1;1;1
"354510 Salmourão";-;-;-
"354515 Saltinho";-;-;-
"354520 Salto";51;47;2
"354530 Salto de Pirapora";5;4;2
"354540 Salto Grande";1;1;1
"354550 Sandovalina";-;-;-
"354560 Santa Adélia";2;2;1
"354570 Santa Albertina";-;-;-
"354580 Santa Bárbara d'Oeste";36;36;6
"354600 Santa Branca";-;-;-
"354610 Santa Clara d'Oeste";-;-;-
"354620 Santa Cruz da Conceição";-;-;-
"354625 Santa Cruz da Esperança";-;-;-
"354630 Santa Cruz das Palmeiras";3;3;1
"354640 Santa Cruz do Rio Pardo";21;21;3
"354650 Santa Ernestina";-;-;-
"354660 Santa Fé do Sul";22;22;3
"354670 Santa Gertrudes";1;1;1
"354680 Santa Isabel";13;13;2
"354690 Santa Lúcia";1;1;1
"354700 Santa Maria da Serra";1;1;1
"354710 Santa Mercedes";-;-;-
"354740 Santa Rita d'Oeste";-;-;-
"354750 Santa Rita do Passa Quatro";5;5;1
"354760 Santa Rosa de Viterbo";4;4;2
"354765 Santa Salete";-;-;-
"354720 Santana da Ponte Pensa";-;-;-
"354730 Santana de Parnaíba";20;16;5
"354770 Santo Anastácio";1;1;1
"354780 Santo André";509;494;14
"354790 Santo Antônio da Alegria";1;1;1
"354800 Santo Antônio de Posse";1;1;1
"354805 Santo Antônio do Aracanguá";-;-;-
"354810 Santo Antônio do Jardim";-;-;-
"354820 Santo Antônio do Pinhal";-;-;-
"354830 Santo Expedito";-;-;-
"354840 Santópolis do Aguapeí";-;-;-
"354850 Santos";409;396;18
"354860 São Bento do Sapucaí";1;1;1
"354870 São Bernardo do Campo";413;376;21
"354880 São Caetano do Sul";103;103;7
"354890 São Carlos";107;99;5
"354900 São Francisco";-;-;-
"354910 São João da Boa Vista";34;32;5
"354920 São João das Duas Pontes";-;-;-
"354925 São João de Iracema";-;-;-
"354930 São João do Pau d'Alho";-;-;-
"354940 São Joaquim da Barra";12;12;2
"354950 São José da Bela Vista";1;1;1
"354960 São José do Barreiro";1;1;1
"354970 São José do Rio Pardo";14;14;2
"354980 São José do Rio Preto";433;423;15
"354990 São José dos Campos";370;359;18
"354995 São Lourenço da Serra";2;2;-
"355000 São Luís do Paraitinga";1;1;1
"355010 São Manuel";6;6;1
"355020 São Miguel Arcanjo";6;6;1
"355030 São Paulo";7193;6917;245
"355040 São Pedro";6;6;2
"355050 São Pedro do Turvo";-;-;-
"355060 São Roque";23;21;1
"355070 São Sebastião";10;10;4
"355080 São Sebastião da Grama";1;1;1
"355090 São Simão";2;2;2
"355100 São Vicente";51;50;6
"355110 Sarapuí";-;-;-
"355120 Sarutaiá";-;-;-
"355130 Sebastianópolis do Sul";-;-;-
"355140 Serra Azul";-;-;-
"355160 Serra Negra";5;4;1
"355150 Serrana";23;23;4
"355170 Sertãozinho";53;53;5
"355180 Sete Barras";-;-;-
"355190 Severínia";1;1;1
"355200 Silveiras";-;-;-
"355210 Socorro";3;3;1
"355220 Sorocaba";409;405;17
"355230 Sud Mennucci";2;2;1
"355240 Sumaré";96;94;6
"355255 Suzanápolis";-;-;-
"355250 Suzano";58;41;5
"355260 Tabapuã";1;1;1
"355270 Tabatinga";1;1;1
"355280 Taboão da Serra";134;132;7
"355290 Taciba";-;-;-
"355300 Taguaí";2;2;2
"355310 Taiaçu";1;1;1
"355320 Taiúva";2;2;1
"355330 Tambaú";3;3;2
"355340 Tanabi";2;2;1
"355350 Tapiraí";1;1;1
"355360 Tapiratiba";3;3;1
"355365 Taquaral";-;-;-
"355370 Taquaritinga";8;8;3
"355380 Taquarituba";2;2;1
"355385 Taquarivaí";1;1;1
"355390 Tarabai";-;-;-
"355395 Tarumã";1;1;1
"355400 Tatuí";28;24;2
"355410 Taubaté";148;146;6
"355420 Tejupá";-;-;-
"355430 Teodoro Sampaio";2;2;2
"355440 Terra Roxa";1;1;1
"355450 Tietê";5;5;1
"355460 Timburi";-;-;-
"355465 Torre de Pedra";-;-;-
"355470 Torrinha";1;1;1
"355475 Trabiju";-;-;-
"355480 Tremembé";2;2;1
"355490 Três Fronteiras";-;-;-
"355495 Tuiuti";-;-;-
"355500 Tupã";25;25;3
"355510 Tupi Paulista";2;2;1
"355520 Turiúba";-;-;-
"355530 Turmalina";-;-;-
"355535 Ubarana";-;-;-
"355540 Ubatuba";10;10;1
"355550 Ubirajara";-;-;-
"355560 Uchoa";-;-;-
"355570 União Paulista";-;-;-
"355580 Urânia";-;-;-
"355590 Uru";-;-;-
"355600 Urupês";1;1;1
"355610 Valentim Gentil";-;-;-
"355620 Valinhos";45;43;3
"355630 Valparaíso";2;2;1
"355635 Vargem";-;-;-
"355640 Vargem Grande do Sul";3;3;1
"355645 Vargem Grande Paulista";4;4;2
"355650 Várzea Paulista";8;8;2
"355660 Vera Cruz";-;-;-
"355670 Vinhedo";24;24;2
"355680 Viradouro";2;2;2
"355690 Vista Alegre do Alto";-;-;-
"355695 Vitória Brasil";-;-;-
"355700 Votorantim";15;15;2
"355710 Votuporanga";57;42;5
"355715 Zacarias";-;-;-
