"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"292205 Mulungu do Morro";-;-;-;2
"292210 Mundo Novo";-;-;-;3
"292220 Muniz Ferreira";1;1;1;-
"292225 Muquém de São Francisco";-;-;-;1
"292230 Muritiba";1;8;4;5
"292240 Mutuípe";-;-;-;-
"292250 Nazaré";2;2;2;24
"292260 Nilo Peçanha";2;-;-;7
"292265 Nordestina";-;-;-;-
"292270 Nova Canaã";-;-;-;-
"292273 Nova Fátima";-;-;-;4
"292275 Nova Ibiá";-;-;-;-
"292280 Nova Itarana";4;3;1;4
"292285 Nova Redenção";-;-;-;-
"292290 Nova Soure";-;-;-;6
"292300 Nova Viçosa";4;-;-;9
"292303 Novo Horizonte";-;-;-;-
"292305 Novo Triunfo";-;-;-;-
"292310 Olindina";-;1;1;-
"292320 Oliveira dos Brejinhos";2;4;3;-
"292330 Ouriçangas";-;-;-;-
"292335 Ourolândia";-;-;-;1
"292340 Palmas de Monte Alto";-;-;-;-
"292350 Palmeiras";-;3;3;-
"292360 Paramirim";-;2;2;-
"292370 Paratinga";1;-;-;1
"292380 Paripiranga";6;6;6;-
"292390 Pau Brasil";-;-;-;-
"292400 Paulo Afonso";-;1;-;19
"292405 Pé de Serra";2;2;3;1
"292410 Pedrão";-;1;1;-
"292420 Pedro Alexandre";1;-;-;-
"292430 Piatã";-;-;-;1
"292440 Pilão Arcado";-;-;-;3
"292450 Pindaí";-;-;-;2
"292460 Pindobaçu";-;-;-;8
"292465 Pintadas";1;1;1;2
"292467 Piraí do Norte";-;-;-;-
"292470 Piripá";-;-;-;-
"292480 Piritiba";-;-;-;-
"292490 Planaltino";-;-;-;-
"292500 Planalto";-;4;-;1
"292510 Poções";-;-;-;12
"292520 Pojuca";6;6;6;4
"292525 Ponto Novo";-;1;-;1
"292530 Porto Seguro";-;-;-;12
"292540 Potiraguá";-;-;-;6
"292550 Prado";1;2;-;9
"292560 Presidente Dutra";-;-;-;-
"292570 Presidente Jânio Quadros";-;-;-;7
"292575 Presidente Tancredo Neves";-;1;1;3
"292580 Queimadas";4;-;-;1
"292590 Quijingue";-;1;1;5
"292593 Quixabeira";8;8;8;23
"292595 Rafael Jambeiro";-;-;-;2
"292600 Remanso";-;-;-;3
"292610 Retirolândia";-;-;-;-
"292620 Riachão das Neves";9;-;-;1
"292630 Riachão do Jacuípe";-;-;-;13
"292640 Riacho de Santana";-;5;5;4
"292650 Ribeira do Amparo";-;-;-;2
"292660 Ribeira do Pombal";-;-;-;14
"292665 Ribeirão do Largo";-;-;-;-
"292670 Rio de Contas";-;-;-;-
"292680 Rio do Antônio";-;-;-;-
"292690 Rio do Pires";-;-;3;-
"292700 Rio Real";-;-;-;-
"292710 Rodelas";4;4;3;-
"292720 Ruy Barbosa";-;3;3;10
"292730 Salinas da Margarida";-;-;-;4
"292740 Salvador";14;49;53;332
"292750 Santa Bárbara";-;-;-;8
"292760 Santa Brígida";-;-;-;-
"292770 Santa Cruz Cabrália";-;-;-;-
"292780 Santa Cruz da Vitória";-;-;-;-
"292790 Santa Inês";-;-;-;-
"292805 Santa Luzia";-;-;-;5
"292810 Santa Maria da Vitória";-;-;-;5
"292840 Santa Rita de Cássia";-;-;-;9
"292850 Santa Teresinha";-;-;-;-
"292800 Santaluz";-;4;5;1
"292820 Santana";-;-;-;14
"292830 Santanópolis";-;-;-;4
"292860 Santo Amaro";-;-;-;1
"292870 Santo Antônio de Jesus";5;2;2;11
"292880 Santo Estêvão";1;1;1;13
"292890 São Desidério";-;-;-;2
"292895 São Domingos";5;-;-;1
"292910 São Felipe";-;-;-;-
"292900 São Félix";-;-;-;7
"292905 São Félix do Coribe";4;-;-;-
"292920 São Francisco do Conde";5;2;2;6
"292925 São Gabriel";-;-;-;-
"292930 São Gonçalo dos Campos";-;-;-;1
"292935 São José da Vitória";-;-;-;3
"292937 São José do Jacuípe";-;-;-;-
"292940 São Miguel das Matas";-;-;-;-
"292950 São Sebastião do Passé";-;-;-;1
"292960 Sapeaçu";-;-;-;-
"292970 Sátiro Dias";-;-;-;-
"292975 Saubara";-;-;-;-
"292980 Saúde";-;1;3;-
"292990 Seabra";-;-;-;6
"293000 Sebastião Laranjeiras";-;-;-;-
"293010 Senhor do Bonfim";9;6;6;20
"293020 Sento Sé";-;-;-;-
"293015 Serra do Ramalho";-;4;4;5
"293030 Serra Dourada";-;-;-;-
"293040 Serra Preta";-;-;-;4
"293050 Serrinha";2;1;1;11
"293060 Serrolândia";-;-;-;-
"293070 Simões Filho";-;-;-;7
"293075 Sítio do Mato";-;5;5;-
"293076 Sítio do Quinto";-;-;-;2
"293077 Sobradinho";1;-;-;1
"293080 Souto Soares";-;-;-;4
"293090 Tabocas do Brejo Velho";-;-;-;-
"293100 Tanhaçu";-;-;-;-
"293105 Tanque Novo";-;2;2;3
"293110 Tanquinho";-;-;-;2
"293120 Taperoá";-;-;-;-
"293130 Tapiramutá";8;6;6;4
"293135 Teixeira de Freitas";3;4;4;35
"293140 Teodoro Sampaio";2;6;6;2
"293150 Teofilândia";-;-;-;4
"293160 Teolândia";-;-;-;-
"293170 Terra Nova";-;-;-;-
"293180 Tremedal";4;5;3;-
"293190 Tucano";-;-;-;10
"293200 Uauá";6;7;7;-
"293210 Ubaíra";2;-;-;2
"293220 Ubaitaba";-;-;-;-
"293230 Ubatã";-;-;-;-
"293240 Uibaí";-;-;-;-
"293245 Umburanas";-;2;3;-
"293250 Una";1;-;-;3
"293260 Urandi";-;-;-;12
"293270 Uruçuca";-;-;-;2
"293280 Utinga";-;1;1;1
"293290 Valença";-;-;2;6
"293300 Valente";1;1;1;3
"293305 Várzea da Roça";-;-;-;-
"293310 Várzea do Poço";-;-;-;1
"293315 Várzea Nova";4;-;-;24
"293317 Varzedo";-;-;-;2
"293320 Vera Cruz";-;-;-;-
"293325 Vereda";1;-;-;-
"293330 Vitória da Conquista";-;-;-;23
"293340 Wagner";-;-;-;2
"293345 Wanderley";5;4;5;9
"293350 Wenceslau Guimarães";-;-;-;7
"293360 Xique-Xique";-;-;-;2
"290000 Município ignorado - BA";-;-;-;-
"310010 Abadia dos Dourados";-;-;-;-
"310020 Abaeté";-;-;-;1
"310030 Abre Campo";-;-;-;-
"310040 Acaiaca";-;-;-;4
"310050 Açucena";-;3;2;1
"310060 Água Boa";-;-;-;-
"310070 Água Comprida";-;-;-;-
"310080 Aguanil";-;-;-;5
"310090 Águas Formosas";-;-;-;1
"310100 Águas Vermelhas";-;-;-;-
"310110 Aimorés";-;-;-;3
"310120 Aiuruoca";-;-;-;-
"310130 Alagoa";2;-;-;-
"310140 Albertina";-;-;-;-
"310150 Além Paraíba";-;-;-;-
"310160 Alfenas";2;-;-;4
"310163 Alfredo Vasconcelos";-;-;-;2
"310170 Almenara";-;-;-;-
"310180 Alpercata";-;-;-;-
"310190 Alpinópolis";-;-;-;2
"310200 Alterosa";-;-;-;-
"310205 Alto Caparaó";-;-;-;-
"315350 Alto Jequitibá";-;-;-;-
"310210 Alto Rio Doce";-;-;-;7
"310220 Alvarenga";-;-;-;2
"310230 Alvinópolis";-;-;-;5
"310240 Alvorada de Minas";-;-;-;-
"310250 Amparo do Serra";-;3;2;3
"310260 Andradas";-;2;2;4
"310280 Andrelândia";-;-;-;6
"310285 Angelândia";-;4;4;1
"310290 Antônio Carlos";-;-;-;5
"310300 Antônio Dias";2;-;-;3
"310310 Antônio Prado de Minas";-;-;-;4
"310320 Araçaí";-;4;4;-
"310330 Aracitaba";-;-;-;2
"310340 Araçuaí";-;-;-;6
"310350 Araguari";2;6;5;52
"310360 Arantina";3;2;3;-
"310370 Araponga";-;-;-;4
"310375 Araporã";-;-;-;4
"310380 Arapuá";4;3;3;-
"310390 Araújos";5;-;-;-
"310400 Araxá";10;-;-;19
"310410 Arceburgo";-;-;-;-
"310420 Arcos";-;-;-;5
"310430 Areado";-;-;-;2
"310440 Argirita";-;-;-;-
"310445 Aricanduva";-;-;-;-
"310450 Arinos";-;2;2;3
"310460 Astolfo Dutra";-;-;-;-
"310470 Ataléia";-;-;-;1
"310480 Augusto de Lima";-;2;2;-
"310490 Baependi";-;-;-;3
"310500 Baldim";-;4;4;-
"310510 Bambuí";-;-;-;9
"310520 Bandeira";-;-;-;2
"310530 Bandeira do Sul";-;-;-;-
"310540 Barão de Cocais";-;-;-;-
"310550 Barão de Monte Alto";-;3;3;3
"310560 Barbacena";8;9;11;26
"310570 Barra Longa";-;-;-;-
"310590 Barroso";-;-;-;-
"310600 Bela Vista de Minas";-;-;-;-
"310610 Belmiro Braga";-;-;-;2
"310620 Belo Horizonte";44;39;40;527
"310630 Belo Oriente";-;-;-;16
"310640 Belo Vale";7;8;5;-
"310650 Berilo";-;-;-;1
"310665 Berizal";-;-;-;2
"310660 Bertópolis";1;6;4;2
"310670 Betim";-;4;4;29
"310680 Bias Fortes";-;-;-;3
"310690 Bicas";-;2;2;5
"310700 Biquinhas";-;-;-;-
"310710 Boa Esperança";1;-;-;10
"310720 Bocaina de Minas";-;-;-;-
"310730 Bocaiúva";-;-;-;9
"310740 Bom Despacho";2;-;-;16
"310750 Bom Jardim de Minas";-;-;-;1
"310760 Bom Jesus da Penha";-;-;-;-
"310770 Bom Jesus do Amparo";1;-;-;1
"310780 Bom Jesus do Galho";-;-;-;3
"310790 Bom Repouso";1;3;3;2
"310800 Bom Sucesso";-;-;-;4
"310810 Bonfim";2;-;-;2
"310820 Bonfinópolis de Minas";-;-;-;-
"310825 Bonito de Minas";-;-;-;3
"310830 Borda da Mata";1;3;3;4
"310840 Botelhos";1;1;1;-
"310850 Botumirim";-;-;-;2
"310870 Brás Pires";-;-;-;-
"310855 Brasilândia de Minas";-;-;-;1
"310860 Brasília de Minas";2;-;-;6
"310880 Braúnas";-;-;-;2
"310890 Brazópolis";-;-;-;-
"310900 Brumadinho";5;-;-;29
"310910 Bueno Brandão";-;-;-;-
"310920 Buenópolis";2;2;2;-
"310925 Bugre";-;-;-;-
"310930 Buritis";-;-;-;10
"310940 Buritizeiro";-;-;-;4
"310945 Cabeceira Grande";-;-;-;-
"310950 Cabo Verde";3;2;2;-
"310960 Cachoeira da Prata";-;-;-;2
"310970 Cachoeira de Minas";-;-;-;3
"310270 Cachoeira de Pajeú";-;-;-;-
"310980 Cachoeira Dourada";-;3;2;-
"310990 Caetanópolis";-;-;-;-
"311000 Caeté";-;-;-;2
"311010 Caiana";-;-;-;-
"311020 Cajuri";-;-;-;2
"311030 Caldas";-;-;-;7
"311040 Camacho";-;-;-;2
"311050 Camanducaia";1;3;3;2
"311060 Cambuí";-;-;-;-
"311070 Cambuquira";-;-;-;-
"311080 Campanário";-;-;-;3
"311090 Campanha";-;1;1;2
"311100 Campestre";-;-;-;-
"311110 Campina Verde";3;8;8;4
"311115 Campo Azul";-;-;-;4
"311120 Campo Belo";-;-;-;7
"311130 Campo do Meio";-;2;2;-
"311140 Campo Florido";-;-;-;3
"311150 Campos Altos";-;-;-;2
"311160 Campos Gerais";-;-;-;4
"311190 Cana Verde";-;-;-;-
"311170 Canaã";-;2;2;-
"311180 Canápolis";-;-;-;-
"311200 Candeias";1;1;1;10
"311205 Cantagalo";-;-;-;-
"311210 Caparaó";3;4;4;-
"311220 Capela Nova";-;2;2;-
"311230 Capelinha";-;3;3;-
"311240 Capetinga";-;-;-;2
"311250 Capim Branco";-;-;-;-
"311260 Capinópolis";-;-;-;2
"311265 Capitão Andrade";-;3;3;1
"311270 Capitão Enéas";-;1;1;4
"311280 Capitólio";-;-;-;3
"311290 Caputira";-;4;4;-
"311300 Caraí";-;-;-;1
"311310 Caranaíba";-;2;2;-
"311320 Carandaí";-;-;-;6
"311330 Carangola";1;-;-;4
"311340 Caratinga";1;-;-;29
"311350 Carbonita";-;-;-;1
"311360 Careaçu";-;-;-;-
"311370 Carlos Chagas";-;-;-;4
"311380 Carmésia";4;4;2;-
"311390 Carmo da Cachoeira";-;-;-;3
"311400 Carmo da Mata";-;-;-;3
"311410 Carmo de Minas";-;-;-;2
"311420 Carmo do Cajuru";-;5;4;3
"311430 Carmo do Paranaíba";4;4;3;5
"311440 Carmo do Rio Claro";-;-;-;-
"311450 Carmópolis de Minas";-;-;-;1
"311455 Carneirinho";2;3;2;-
"311460 Carrancas";3;6;6;5
"311470 Carvalhópolis";-;-;-;2
"311480 Carvalhos";-;-;-;1
"311490 Casa Grande";-;-;-;-
"311500 Cascalho Rico";-;-;-;2
"311510 Cássia";-;-;-;3
"311530 Cataguases";1;-;-;11
"311535 Catas Altas";-;-;-;-
"311540 Catas Altas da Noruega";-;-;-;4
"311545 Catuji";-;-;-;3
"311547 Catuti";-;-;-;3
"311550 Caxambu";-;-;-;-
"311560 Cedro do Abaeté";-;3;3;1
"311570 Central de Minas";-;-;-;2
"311580 Centralina";4;7;7;-
"311590 Chácara";-;-;-;-
"311600 Chalé";-;-;-;-
"311610 Chapada do Norte";7;5;5;6
"311615 Chapada Gaúcha";4;4;4;3
"311620 Chiador";-;-;-;1
"311630 Cipotânea";2;5;5;6
"311640 Claraval";-;-;-;-
"311650 Claro dos Poções";1;1;2;9
"311660 Cláudio";-;-;-;-
"311670 Coimbra";-;-;-;-
"311680 Coluna";-;-;-;-
"311690 Comendador Gomes";-;-;-;2
"311700 Comercinho";-;-;-;-
"311710 Conceição da Aparecida";-;-;-;-
"311520 Conceição da Barra de Minas";3;3;3;-
"311730 Conceição das Alagoas";-;-;-;2
"311720 Conceição das Pedras";-;-;-;-
"311740 Conceição de Ipanema";-;-;-;-
"311750 Conceição do Mato Dentro";2;2;2;7
"311760 Conceição do Pará";-;-;-;3
"311770 Conceição do Rio Verde";-;-;-;2
"311780 Conceição dos Ouros";-;3;3;2
"311783 Cônego Marinho";-;-;-;1
"311787 Confins";1;1;1;4
"311790 Congonhal";-;2;2;-
"311800 Congonhas";-;-;-;11
"311810 Congonhas do Norte";4;3;3;-
"311820 Conquista";-;-;-;-
"311830 Conselheiro Lafaiete";4;1;-;18
"311840 Conselheiro Pena";-;-;-;3
"311850 Consolação";-;-;-;-
"311860 Contagem";18;1;1;51
"311870 Coqueiral";3;3;3;7
"311880 Coração de Jesus";-;-;-;9
"311890 Cordisburgo";-;-;-;-
"311900 Cordislândia";-;-;-;1
"311910 Corinto";-;-;-;-
"311920 Coroaci";9;4;3;-
"311930 Coromandel";-;-;-;2
"311940 Coronel Fabriciano";-;-;-;1
"311950 Coronel Murta";6;6;6;4
"311960 Coronel Pacheco";-;-;-;2
"311970 Coronel Xavier Chaves";-;-;-;-
"311980 Córrego Danta";-;-;-;2
"311990 Córrego do Bom Jesus";-;-;-;-
"311995 Córrego Fundo";3;3;3;-
"312000 Córrego Novo";-;-;-;5
"312010 Couto de Magalhães de Minas";2;4;4;-
"312015 Crisólita";-;-;-;3
"312020 Cristais";4;3;3;1
"312030 Cristália";1;-;-;2
"312040 Cristiano Otoni";-;-;-;2
"312050 Cristina";-;-;-;-
"312060 Crucilândia";-;3;-;-
"312070 Cruzeiro da Fortaleza";2;2;2;-
"312080 Cruzília";-;-;-;10
"312083 Cuparaque";-;-;-;6
"312087 Curral de Dentro";2;-;-;3
"312090 Curvelo";4;3;3;-
"312100 Datas";6;-;-;3
"312110 Delfim Moreira";-;4;4;3
"312120 Delfinópolis";3;-;-;-
"312125 Delta";-;-;-;2
"312130 Descoberto";-;-;-;2
"312140 Desterro de Entre Rios";-;-;-;-
"312150 Desterro do Melo";-;2;2;-
"312160 Diamantina";-;-;-;10
"312170 Diogo de Vasconcelos";-;4;4;-
"312180 Dionísio";-;-;-;-
"312190 Divinésia";2;2;2;-
"312200 Divino";-;-;-;-
"312210 Divino das Laranjeiras";-;-;-;2
"312220 Divinolândia de Minas";-;-;-;3
"312230 Divinópolis";8;4;4;62
"312235 Divisa Alegre";-;-;-;1
"312240 Divisa Nova";-;-;-;-
"312245 Divisópolis";-;-;-;5
"312247 Dom Bosco";-;-;-;3
"312250 Dom Cavati";-;-;-;3
"312260 Dom Joaquim";-;-;-;-
"312270 Dom Silvério";-;-;-;4
"312280 Dom Viçoso";-;-;-;-
"312290 Dona Eusébia";-;-;-;5
"312300 Dores de Campos";-;-;-;4
"312310 Dores de Guanhães";-;-;-;-
"312320 Dores do Indaiá";-;-;-;-
"312330 Dores do Turvo";-;-;-;1
"312340 Doresópolis";2;-;-;-
"312350 Douradoquara";-;3;3;-
"312352 Durandé";-;-;-;3
"312360 Elói Mendes";-;-;-;-
"312370 Engenheiro Caldas";-;-;-;3
"312380 Engenheiro Navarro";-;-;-;3
"312385 Entre Folhas";-;2;-;12
"312390 Entre Rios de Minas";-;-;-;1
"312400 Ervália";-;-;-;1
"312410 Esmeraldas";-;-;-;2
"312420 Espera Feliz";-;-;-;3
"312430 Espinosa";-;-;-;5
"312440 Espírito Santo do Dourado";-;-;-;-
"312450 Estiva";-;-;-;3
"312460 Estrela Dalva";-;-;-;-
"312470 Estrela do Indaiá";-;-;-;1
"312480 Estrela do Sul";-;-;-;4
"312490 Eugenópolis";1;1;2;1
"312500 Ewbank da Câmara";-;-;-;2
"312510 Extrema";7;7;7;3
"312520 Fama";-;-;-;1
"312530 Faria Lemos";-;-;-;-
"312540 Felício dos Santos";-;3;3;-
"312560 Felisburgo";-;-;-;-
"312570 Felixlândia";1;3;3;4
"312580 Fernandes Tourinho";-;-;-;2
"312590 Ferros";-;-;-;7
"312595 Fervedouro";-;-;-;4
"312600 Florestal";9;6;6;-
"312610 Formiga";7;5;5;33
"312620 Formoso";3;5;3;-
"312630 Fortaleza de Minas";3;6;3;-
"312640 Fortuna de Minas";-;3;3;-
"312650 Francisco Badaró";4;3;3;3
"312660 Francisco Dumont";-;1;-;2
"312670 Francisco Sá";-;-;2;3
"312675 Franciscópolis";-;3;4;-
"312680 Frei Gaspar";-;-;-;5
"312690 Frei Inocêncio";1;2;2;-
"312695 Frei Lagonegro";-;-;-;-
"312700 Fronteira";3;-;-;7
"312705 Fronteira dos Vales";-;-;-;4
"312707 Fruta de Leite";-;-;-;4
"312710 Frutal";-;2;2;7
"312720 Funilândia";-;-;-;2
"312730 Galiléia";3;3;3;-
"312733 Gameleiras";-;2;2;4
"312735 Glaucilândia";-;-;-;2
"312737 Goiabeira";-;-;-;2
"312738 Goianá";-;-;-;3
"312740 Gonçalves";-;-;-;-
"312750 Gonzaga";-;-;-;4
"312760 Gouveia";2;4;4;-
"312770 Governador Valadares";43;39;56;149
"312780 Grão Mogol";1;1;1;6
"312790 Grupiara";-;-;-;5
"312800 Guanhães";-;6;-;13
"312810 Guapé";-;3;2;-
"312820 Guaraciaba";-;-;-;4
"312825 Guaraciama";-;-;-;-
"312830 Guaranésia";-;-;-;-
"312840 Guarani";-;-;-;-
"312850 Guarará";-;-;-;5
"312860 Guarda-Mor";-;-;-;2
"312870 Guaxupé";-;-;-;3
"312880 Guidoval";-;-;-;5
"312890 Guimarânia";-;-;-;-
"312900 Guiricema";2;6;6;-
"312910 Gurinhatã";-;-;-;-
"312920 Heliodora";-;-;-;-
"312930 Iapu";-;-;-;3
"312940 Ibertioga";-;-;-;-
"312950 Ibiá";1;-;-;1
"312960 Ibiaí";-;-;-;2
"312965 Ibiracatu";-;-;-;9
"312970 Ibiraci";-;-;-;2
"312980 Ibirité";1;-;-;2
"312990 Ibitiúra de Minas";-;-;-;2
"313000 Ibituruna";-;-;-;2
"313005 Icaraí de Minas";-;-;-;3
"313010 Igarapé";-;-;-;6
"313020 Igaratinga";2;2;2;-
"313030 Iguatama";-;-;-;2
"313040 Ijaci";-;3;2;3
"313050 Ilicínea";2;2;2;2
"313055 Imbé de Minas";-;-;-;1
"313060 Inconfidentes";-;-;-;2
"313065 Indaiabira";-;-;-;-
"313070 Indianópolis";-;2;2;-
"313080 Ingaí";-;-;-;-
"313090 Inhapim";-;-;-;16
"313100 Inhaúma";3;3;3;-
"313110 Inimutaba";-;-;-;-
"313115 Ipaba";3;5;9;3
"313120 Ipanema";-;4;4;1
"313130 Ipatinga";4;8;6;20
"313140 Ipiaçu";-;-;-;-
"313150 Ipuiúna";-;-;-;-
"313160 Iraí de Minas";-;-;-;1
"313170 Itabira";1;8;8;29
"313180 Itabirinha";-;-;-;4
"313190 Itabirito";-;-;-;15
"313200 Itacambira";-;-;-;3
"313210 Itacarambi";3;-;-;3
"313220 Itaguara";-;-;-;3
"313230 Itaipé";-;-;-;-
"313240 Itajubá";-;-;-;7
"313250 Itamarandiba";-;-;-;4
"313260 Itamarati de Minas";-;-;-;-
"313270 Itambacuri";1;-;-;5
"313280 Itambé do Mato Dentro";-;-;-;3
"313290 Itamogi";4;4;4;5
"313300 Itamonte";-;-;-;10
"313310 Itanhandu";-;-;-;2
"313320 Itanhomi";-;-;-;4
"313330 Itaobim";-;-;-;5
"313340 Itapagipe";-;-;-;2
"313350 Itapecerica";-;-;-;-
"313360 Itapeva";-;-;-;50
"313370 Itatiaiuçu";-;-;-;13
"313375 Itaú de Minas";-;-;-;3
"313380 Itaúna";4;2;2;15
"313390 Itaverava";-;-;-;5
"313400 Itinga";-;-;-;2
"313410 Itueta";-;-;-;2
"313420 Ituiutaba";8;-;-;31
"313430 Itumirim";-;-;-;-
"313440 Iturama";-;4;4;2
"313450 Itutinga";3;3;3;-
"313460 Jaboticatubas";-;1;1;-
"313470 Jacinto";-;-;-;2
"313480 Jacuí";-;-;-;2
"313490 Jacutinga";-;-;-;2
"313500 Jaguaraçu";-;-;-;1
"313505 Jaíba";-;-;-;-
"313507 Jampruca";-;-;-;2
"313510 Janaúba";6;-;-;30
"313520 Januária";-;1;-;13
"313530 Japaraíba";-;-;-;6
"313535 Japonvar";-;-;-;3
"313540 Jeceaba";-;-;-;6
"313545 Jenipapo de Minas";-;-;-;4
"313550 Jequeri";3;3;3;2
"313560 Jequitaí";2;3;3;-
"313570 Jequitibá";-;2;2;-
"313580 Jequitinhonha";-;-;-;4
"313590 Jesuânia";-;-;-;1
"313600 Joaíma";-;-;-;1
"313610 Joanésia";-;3;2;1
"313620 João Monlevade";-;-;-;19
"313630 João Pinheiro";5;5;5;8
"313640 Joaquim Felício";-;-;-;7
"313650 Jordânia";-;-;-;-
"313652 José Gonçalves de Minas";-;-;-;1
"313655 José Raydan";-;-;-;-
"313657 Josenópolis";2;2;2;3
"313665 Juatuba";3;3;3;2
"313670 Juiz de Fora";7;15;19;117
"313680 Juramento";-;-;-;-
"313690 Juruaia";-;-;-;2
"313695 Juvenília";-;-;-;-
"313700 Ladainha";-;-;-;-
"313710 Lagamar";-;2;2;-
"313720 Lagoa da Prata";4;5;5;9
"313730 Lagoa dos Patos";6;4;4;4
"313740 Lagoa Dourada";3;6;4;5
"313750 Lagoa Formosa";-;-;-;6
"313753 Lagoa Grande";3;3;3;-
"313760 Lagoa Santa";7;3;63;31
"313770 Lajinha";-;-;-;2
"313780 Lambari";-;1;1;-
"313790 Lamim";-;-;-;-
"313800 Laranjal";-;-;-;3
"313810 Lassance";-;3;3;2
"313820 Lavras";2;5;1;62
"313830 Leandro Ferreira";-;-;-;4
"313835 Leme do Prado";-;-;-;-
"313840 Leopoldina";-;-;-;9
"313850 Liberdade";-;4;4;5
"313860 Lima Duarte";4;4;4;-
"313862 Limeira do Oeste";3;2;2;-
"313865 Lontra";-;-;-;4
"313867 Luisburgo";-;-;-;2
"313868 Luislândia";-;-;-;-
"313870 Luminárias";-;-;-;2
"313880 Luz";-;-;-;2
"313890 Machacalis";-;-;-;4
"313900 Machado";1;1;1;4
"313910 Madre de Deus de Minas";-;2;2;-
"313920 Malacacheta";-;-;-;2
"313925 Mamonas";-;2;3;-
"313930 Manga";1;1;1;4
"313940 Manhuaçu";-;1;1;5
"313950 Manhumirim";-;2;2;3
"313960 Mantena";6;6;6;7
"313980 Mar de Espanha";-;-;-;4
"313970 Maravilhas";-;-;-;4
"313990 Maria da Fé";-;-;-;-
"314000 Mariana";2;3;3;9
"314010 Marilac";-;-;-;6
"314015 Mário Campos";-;-;-;-
"314020 Maripá de Minas";-;-;-;5
"314030 Marliéria";-;-;-;-
"314040 Marmelópolis";-;-;-;8
"314050 Martinho Campos";-;4;4;2
"314053 Martins Soares";-;-;-;-
"314055 Mata Verde";-;-;-;-
"314060 Materlândia";-;-;-;5
"314070 Mateus Leme";-;-;-;9
"317150 Mathias Lobato";-;-;-;6
"314080 Matias Barbosa";3;3;3;3
"314085 Matias Cardoso";-;-;-;8
"314090 Matipó";-;-;-;-
"314100 Mato Verde";7;6;4;2
"314110 Matozinhos";-;-;-;-
"314120 Matutina";-;-;-;-
"314130 Medeiros";-;-;-;3
"314140 Medina";-;-;-;-
"314150 Mendes Pimentel";-;-;-;-
"314160 Mercês";-;-;-;2
"314170 Mesquita";-;-;-;6
"314180 Minas Novas";-;-;-;4
"314190 Minduri";1;1;1;1
"314200 Mirabela";-;-;-;5
"314210 Miradouro";1;-;-;-
"314220 Miraí";-;2;-;5
"314225 Miravânia";-;-;-;7
"314230 Moeda";-;-;-;6
"314240 Moema";-;-;-;6
"314250 Monjolos";-;-;-;-
"314260 Monsenhor Paulo";1;-;-;4
"314270 Montalvânia";-;-;-;1
"314280 Monte Alegre de Minas";-;-;-;7
"314290 Monte Azul";-;-;-;1
"314300 Monte Belo";-;-;-;-
"314310 Monte Carmelo";-;-;-;9
"314315 Monte Formoso";-;5;5;-
"314320 Monte Santo de Minas";-;-;-;14
"314340 Monte Sião";-;-;-;-
"314330 Montes Claros";8;4;4;43
"314345 Montezuma";-;5;3;3
"314350 Morada Nova de Minas";-;-;-;4
"314360 Morro da Garça";-;-;-;2
"314370 Morro do Pilar";-;-;-;-
"314380 Munhoz";-;-;-;-
"314390 Muriaé";-;4;7;35
"314400 Mutum";-;-;-;3
"314410 Muzambinho";-;-;-;-
"314420 Nacip Raydan";-;2;2;2
"314430 Nanuque";-;5;3;1
"314435 Naque";-;-;-;4
"314437 Natalândia";-;2;2;-
"314440 Natércia";-;-;-;-
"314450 Nazareno";-;-;-;2
"314460 Nepomuceno";-;-;-;-
"314465 Ninheira";1;3;1;10
"314467 Nova Belém";-;-;-;-
"314470 Nova Era";-;-;-;-
"314480 Nova Lima";2;3;-;4
"314490 Nova Módica";-;-;-;3
"314500 Nova Ponte";-;-;-;-
"314505 Nova Porteirinha";-;-;-;3
"314510 Nova Resende";-;-;-;-
"314520 Nova Serrana";5;7;6;12
"313660 Nova União";-;-;-;-
"314530 Novo Cruzeiro";-;3;3;8
"314535 Novo Oriente de Minas";-;3;2;9
"314537 Novorizonte";-;-;-;3
"314540 Olaria";-;-;-;1
"314545 Olhos-d'Água";-;-;-;3
"314550 Olímpio Noronha";-;-;-;2
"314560 Oliveira";3;3;3;12
"314570 Oliveira Fortes";-;-;-;-
"314580 Onça de Pitangui";-;-;-;-
"314585 Oratórios";-;-;-;6
"314587 Orizânia";-;-;-;-
"314590 Ouro Branco";-;-;-;5
"314600 Ouro Fino";-;2;2;4
"314610 Ouro Preto";8;15;12;15
"314620 Ouro Verde de Minas";-;2;3;-
"314625 Padre Carvalho";4;1;1;1
"314630 Padre Paraíso";-;-;-;1
"314655 Pai Pedro";-;-;-;-
"314640 Paineiras";-;-;-;-
"314650 Pains";-;-;-;3
"314660 Paiva";-;-;-;4
"314670 Palma";-;-;-;1
"314675 Palmópolis";-;4;-;-
"314690 Papagaios";4;4;4;-
"314710 Pará de Minas";11;10;8;28
"314700 Paracatu";-;-;-;7
"314720 Paraguaçu";-;-;-;-
"314730 Paraisópolis";-;-;-;2
"314740 Paraopeba";-;-;-;-
"314760 Passa Quatro";-;1;1;1
"314770 Passa Tempo";-;-;3;-
"314780 Passa-Vinte";-;-;-;-
"314750 Passabém";-;-;-;2
"314790 Passos";11;4;4;24
